Symbol,Company Name,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
ABGI,ABG Acquisition I Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ABMD,"ABIOMED, Inc.",5.41%,18.80%,13.59%,14.71%,0.00%,0.00%
ABM,"ABM Industries, Inc.",1.68%,7.97%,23.06%,4.15%,1.70%,2.88%
AXAS,Abraxas Petroleum Corp.,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
FAX,abrdn Asia Pacific Income Fund,0.00%,0.00%,0.00%,0.00%,11.22%,-4.71%
IAF,abrdn Australia Equity Fund,0.00%,0.00%,0.00%,0.00%,9.98%,0.00%
AEF^F14,abrdn Emerging Markets Eqty Incm Fd Inc,0.00%,0.00%,0.00%,0.00%,10.11%,-1.33%
AGD,Abrdn Global Dynamic Dividend Fund,0.00%,0.00%,0.00%,0.00%,7.65%,0.00%
FCO,abrdn Global Income Fund,0.00%,0.00%,0.00%,0.00%,15.97%,0.00%
AWP,Abrdn Global Premier Properties Fund,0.00%,0.00%,0.00%,0.00%,8.97%,0.00%
ACP,abrdn Income Credit Strategies Fund,0.00%,0.00%,0.00%,0.00%,13.76%,0.00%
JEQ,abrdn Japan Equity Fund,0.00%,0.00%,0.00%,0.00%,22.49%,0.00%
ASGI,abrdn Standard Globl Infrstrctr Incm Fnd,0.00%,0.00%,0.00%,0.00%,7.47%,0.00%
AOD,Abrdn Total Dynamic Dividend Fund,0.00%,0.00%,0.00%,0.00%,8.05%,0.00%
ASPA,Abri SPAC I Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGRPY,Absa Group Ltd (ADR),0.00%,0.00%,0.00%,0.00%,4.98%,0.00%
ABSI,Absci Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ABVC,ABVC Biopharma Inc,-15.69%,62.71%,-81.74%,-100.00%,0.00%,0.00%
ACIU,AC Immune SA,1.04%,65.26%,0.00%,"5,038.69%",0.00%,0.00%
ACTG,Acacia Research Corp,-187.27%,98.73%,-24.75%,3.10%,0.00%,0.00%
ASO,Academy Sports and Outdoors Inc,0.00%,0.00%,0.00%,0.00%,0.65%,0.00%
,Acadia Healthcare Company Inc,21.48%,9.32%,11.82%,8.64%,0.00%,0.00%
ACAD,ACADIA Pharmaceuticals Inc.,-23.81%,54.62%,9.40%,17.94%,0.00%,0.00%
AKR,Acadia Realty Trust,11.54%,-13.79%,-12.94%,2.94%,4.16%,0.00%
CAVG,ACC Aviation Holdings Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACEL,Accel Entertainment Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AAQC,Accelerate Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AXDX,Accelerate Diagnostics Inc,17.46%,59.62%,4.40%,25.20%,0.00%,0.00%
ACN,Accenture Plc,21.48%,12.54%,21.89%,8.72%,1.23%,9.86%
ACCO,ACCO Brands Corporation,12.06%,10.13%,3.17%,2.05%,4.39%,0.00%
ACCD,Accolade Inc,-239.38%,69.47%,16.03%,13.41%,0.00%,0.00%
ENER,Accretion Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ARAY,Accuray Incorporated,83.33%,0.00%,4.76%,6.41%,0.00%,0.00%
ACEV,ACE Convergence Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACBA,Ace Global Business Acquisition Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACRX,AcelRx Pharmaceuticals Inc,17.24%,37.50%,153.58%,227.53%,0.00%,0.00%
