Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
FLWS,1-800-Flowers.Com Inc,-2.84%,6.00%,-4.68%,1.18%,-64.97%,1.27
VCXA,10X Capital Venture Acquisition II Corp,-0.13%,0.00%,-9.43%,-5.77%,0.00%,0
VCXB,10X Capital Venture Acquisition III Corp,0.00%,0.00%,-9.25%,-5.78%,0.00%,0.01
,10X Genomics Inc,10.71%,8.00%,-9.66%,10.65%,-69.98%,2.2
YI,111 Inc - ADR,-16.84%,-2.00%,-11.20%,33.44%,-61.99%,2.27
YQ,17 Education & Technology Group Inc-ADR,-1.05%,27.00%,10.23%,15.60%,-58.03%,1.13
TURN,180 Degree Capital Corp,4.71%,5.00%,-5.45%,-8.73%,-13.64%,0.17
ATNF,180 Life Sciences Corp,-9.49%,3.00%,-4.13%,-1.71%,-86.10%,0.82
EFSH,1847 Holdings LLC,2.13%,0.00%,-45.68%,-54.02%,-35.50%,
BCOW,1895 Bancorp of Wisconsin Inc,-1.10%,-1.00%,-12.34%,-9.39%,-1.27%,0.2
ONEM,1life Healthcare Inc,-0.53%,79.00%,58.35%,154.79%,-27.58%,2.63
FISB,1St Capital Bancorp,0.00%,-1.00%,0.00%,0.00%,0.00%,
FSGB,1st FSB of SC Inc,0.00%,0.00%,0.00%,0.00%,0.00%,
SRCE,1st Source Corporation,2.21%,12.00%,0.41%,2.66%,7.98%,0.41
DIBS,1Stdibs.Com Inc,-8.59%,16.00%,3.83%,7.28%,-61.10%,1.34
XXII,22nd Century Group Inc,-1.08%,1.00%,-13.48%,14.03%,-48.98%,1.46
ME^K10,23andMe Holding Co.,33.53%,61.00%,36.22%,82.80%,-45.90%,1.66
ADER,26 Capital Acquisition Corp,-0.10%,0.00%,-9.33%,-6.63%,7.67%,0.01
TSVT,2Seventy Bio Inc,11.96%,24.00%,7.09%,47.53%,0.00%,2
TWOU,2U Inc,-1.50%,-5.00%,-23.20%,1.74%,-75.62%,2.03
QFIN,360 DigiTech Inc,-2.49%,3.00%,-7.61%,8.53%,-28.29%,1.65
SCWO,374Water Inc,16.98%,62.00%,36.55%,7.31%,48.49%,
DDD,3D Systems Corporation,-4.29%,20.00%,10.24%,21.64%,-63.80%,1.82
DDDX,3DX Industries Inc,3.28%,45.00%,26.70%,18.00%,-25.49%,
MMM,3M Co,4.10%,15.00%,5.08%,-4.64%,-21.00%,0.58
FDMT,4D Molecular Therapeutics Inc,4.51%,19.00%,9.66%,7.03%,-58.88%,1.35
FVAM,5:01 Acquisition Corp,0.20%,0.00%,-9.34%,-5.68%,7.67%,0
FEAM,5E Advanced Materials Inc,1.23%,15.00%,6.51%,-24.36%,0.00%,0.47
SVNA,7 Acquisition Corp,0.20%,0.00%,-9.07%,-5.87%,0.00%,0
VII,7GC & Holdings Co Inc,0.41%,1.00%,-9.15%,-5.48%,7.88%,0.01
,808 Renewable Energy Corp,9.38%,-11.00%,-19.99%,-18.01%,-62.17%,
ETNB,89bio Inc,19.32%,22.00%,11.22%,82.59%,-75.52%,1.1
LAX,8i Acquisition 2 Corp,0.00%,1.00%,-9.25%,-5.77%,0.00%,0
EGHT,"8x8, Inc.",-6.77%,15.00%,0.27%,-37.49%,-77.70%,1.84
NMTR,9 Meters Biopharma Inc,9.44%,11.00%,7.54%,-30.91%,-73.96%,0.83
MASS,908 Devices Inc.,-18.82%,8.00%,-12.79%,34.61%,-34.41%,2.05
JFU,9F Inc - ADR,-7.43%,-19.00%,-27.25%,-17.28%,-55.78%,0.8
AOS,A O Smith Corp,0.36%,9.00%,0.40%,0.52%,-9.56%,0.9
,A P MOELLER MAERSK A S SHS B,-0.89%,26.00%,18.32%,0.88%,23.45%,
ASCA,A SPAC I Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.01
ASCB,A SPAC II Acquisition Corp,0.30%,0.00%,-9.52%,0.00%,0.00%,
,A-Mark Precious Metals Inc,8.49%,26.00%,12.82%,6.49%,52.76%,1.26
ATEN,A10 Networks Inc,-1.79%,10.00%,2.21%,-0.16%,23.18%,1.38
AADI,Aadi Bioscience Inc,2.66%,9.00%,-2.84%,12.13%,-51.73%,1.47
AAON,"AAON, Inc.",0.00%,16.00%,3.41%,14.66%,-7.49%,0.7
AAPJ,Aap 101 Inc,-7.57%,1.00%,-9.10%,-56.97%,-80.83%,
AIR,AAR Corp.,4.20%,12.00%,2.27%,-4.19%,42.47%,0.9
AAN,Aaron's Company Inc,8.74%,-2.00%,-12.87%,-29.94%,-45.87%,1.06
ABQQ,Ab International Group Corp,-17.86%,-28.00%,-53.85%,-60.91%,-90.09%,
ABTO,AB&T Financial Corporation,-6.95%,-30.00%,-37.43%,-17.58%,-36.11%,
ABB,ABB Ltd (ADR),2.49%,13.00%,3.54%,1.56%,-13.54%,0.91
ABT,Abbott Laboratories,0.60%,1.00%,-6.25%,-2.62%,-5.30%,0.84
ABBV,AbbVie Inc,-0.18%,-8.00%,-16.35%,-13.31%,29.35%,0.28
ABCM,Abcam PLC (ADR),-1.29%,11.00%,-1.92%,8.39%,-21.61%,0.99
ABCL,AbCellera Biologics Inc,21.49%,20.00%,6.41%,117.98%,-9.83%,1.34
ABCE,ABCO Energy Inc,28.44%,32.00%,19.26%,104.46%,-63.30%,
ABEO,Abeona Therapeutics Inc,3.74%,-13.00%,-25.62%,13.94%,-86.08%,1.08
ANF,Abercrombie & Fitch Co.,4.44%,13.00%,0.68%,-43.66%,-49.50%,1.33
ABGI,ABG Acquisition I Corp,0.10%,1.00%,-9.24%,-5.96%,6.79%,0
ABMD,"ABIOMED, Inc.",-2.69%,13.00%,3.09%,17.43%,-7.09%,1.55
ABM,"ABM Industries, Inc.",1.18%,7.00%,-3.59%,-3.97%,1.56%,0.81
AXAS,Abraxas Petroleum Corp.,-1.23%,-3.00%,-10.54%,-20.45%,-20.09%,
FAX,abrdn Asia Pacific Income Fund,1.75%,6.00%,-4.08%,-9.95%,-29.75%,0.31
IAF,abrdn Australia Equity Fund,3.06%,14.00%,4.30%,-4.73%,-14.76%,0.82
AEF^F14,abrdn Emerging Markets Eqty Incm Fd Inc,2.21%,4.00%,-5.63%,-3.59%,-32.65%,0.66
AGD,Abrdn Global Dynamic Dividend Fund,1.81%,8.00%,-2.48%,-1.17%,-13.42%,0.82
FCO,abrdn Global Income Fund,1.55%,-1.00%,-12.22%,-14.24%,-42.89%,0.09
AWP,Abrdn Global Premier Properties Fund,1.34%,7.00%,-1.93%,-2.49%,-15.25%,0.82
ACP,abrdn Income Credit Strategies Fund,3.22%,12.00%,2.22%,-6.10%,-19.81%,0.43
JEQ,abrdn Japan Equity Fund,1.51%,7.00%,-3.64%,-6.38%,-29.51%,0.53
ASGI,abrdn Standard Globl Infrstrctr Incm Fnd,0.84%,9.00%,-1.87%,-1.64%,-4.29%,0.51
AOD,Abrdn Total Dynamic Dividend Fund,1.78%,6.00%,-3.62%,-2.31%,-13.10%,0.79
ASPA,Abri SPAC I Inc,0.10%,0.00%,-9.43%,-5.68%,0.00%,0.02
AGRPY,Absa Group Ltd (ADR),0.00%,12.00%,0.00%,0.00%,0.00%,
ABSI,Absci Corp,17.65%,29.00%,18.15%,12.48%,-83.34%,1.99
ABVC,ABVC Biopharma Inc,-22.34%,-39.00%,-47.39%,-80.15%,-85.30%,0.72
ACIU,AC Immune SA,0.73%,2.00%,-9.96%,26.59%,-47.31%,1.4
ACTG,Acacia Research Corp,0.20%,0.00%,-10.94%,0.90%,-11.09%,1.03
ASO,Academy Sports and Outdoors Inc,2.23%,17.00%,4.58%,21.62%,32.11%,1.67
,Acadia Healthcare Company Inc,-0.96%,10.00%,0.23%,14.28%,35.55%,0.92
ACAD,ACADIA Pharmaceuticals Inc.,7.88%,3.00%,-8.80%,-1.28%,-7.96%,0.89
AKR,Acadia Realty Trust,4.60%,7.00%,-3.06%,-14.86%,-16.22%,0.87
CAVG,ACC Aviation Holdings Ltd,0.00%,0.00%,-3.02%,0.39%,-0.63%,
ACEL,Accel Entertainment Inc,-21.27%,-15.00%,-21.36%,-14.53%,-12.93%,0.9
AAQC,Accelerate Acquisition Corp,0.10%,0.00%,-9.24%,-5.96%,7.13%,0
AXDX,Accelerate Diagnostics Inc,14.44%,49.00%,38.82%,168.61%,-67.21%,1.39
ACN,Accenture Plc,2.70%,17.00%,5.00%,5.29%,4.16%,1.15
ACCO,ACCO Brands Corporation,-5.87%,2.00%,-7.64%,-11.40%,-21.63%,0.77
ACCD,Accolade Inc,9.21%,27.00%,13.04%,112.07%,-72.36%,3.09
ENER,Accretion Acquisition Corp,-0.20%,1.00%,-9.24%,-6.15%,0.00%,0.01
ARAY,Accuray Incorporated,3.81%,5.00%,-5.36%,-4.79%,-43.00%,1.24
ACEV,ACE Convergence Acquisition Corp,0.00%,0.00%,-9.17%,-3.90%,9.33%,-0.02
ACBA,Ace Global Business Acquisition Ltd,0.10%,0.00%,-9.35%,-5.53%,9.16%,0
ACRX,AcelRx Pharmaceuticals Inc,5.76%,-3.00%,-17.27%,17.46%,-79.36%,0.94
ACER,Acer Therapeutics Inc,13.43%,6.00%,-5.99%,-19.28%,-36.94%,0.69
AVHI,Achari Ventures Holdings Corp I,0.00%,0.00%,-9.43%,-6.16%,0.00%,0
ACHV,Achieve Life Sciences Inc,8.05%,2.00%,-8.85%,-20.58%,-21.40%,0.7
ACHL,Achilles Therapeutics PLC (ADR),9.64%,16.00%,1.92%,42.76%,-57.21%,1.05
ACIW,ACI Worldwide Inc,-7.26%,2.00%,-9.05%,0.42%,-12.47%,0.96
ACKIU,Ackrell SPAC Partners I Co,-0.61%,1.00%,-9.04%,-6.31%,7.51%,0.05
ACON,Aclarion Inc,-10.72%,12.00%,-1.86%,-36.85%,0.00%,
ACRS,Aclaris Therapeutics Inc,17.36%,11.00%,-3.66%,55.47%,22.74%,1.07
ACMR,ACM Research Inc,13.41%,29.00%,13.64%,57.68%,-31.12%,1.92
ACU,Acme United Corporation,-2.62%,-2.00%,-13.22%,-17.80%,-24.87%,0.2
ACNB,ACNB Corporation,1.80%,17.00%,3.09%,0.14%,29.66%,0.26
ACOR,Acorda Therapeutics Inc,-5.56%,-1.00%,-11.71%,-44.05%,-87.19%,0.21
ACFN,Acorn Energy Inc,4.90%,11.00%,-8.00%,21.93%,-2.29%,
ACR,Acres Commercial Realty Corp,13.53%,20.00%,2.64%,-21.62%,-41.70%,0.54
ACAC,ACRI Capital Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,
ACBM,ACRO Biomedical Co Ltd,12.78%,0.00%,1.33%,-0.09%,5.38%,
ACRO,Acropolis Infrastructure Acquisitin Corp,0.77%,1.00%,-8.44%,-5.13%,0.00%,0.03
ASNS,Actelis Networks Inc,-5.16%,8.00%,-6.52%,0.00%,0.00%,
ATNM,Actinium Pharmaceuticals Inc,10.78%,12.00%,-0.16%,2.54%,-12.57%,0.91
ATVI,"Activision Blizzard, Inc.",0.40%,6.00%,-3.82%,-2.38%,2.74%,0.32
AYI,"Acuity Brands, Inc.",1.86%,9.00%,0.87%,4.80%,5.48%,0.92
ABOS,Acumen Pharmaceuticals Inc,6.63%,-15.00%,-18.59%,61.14%,-62.06%,1.26
ACUR,"Acura Pharmaceuticals, Inc.",0.00%,-80.00%,-81.90%,-76.64%,-81.18%,
ACXP,Acurx Pharmaceuticals Inc,25.46%,35.00%,26.95%,35.33%,1.97%,0.05
GOLF,Acushnet Holdings Corp,3.04%,7.00%,0.22%,17.60%,-1.84%,0.95
AFIB,Acutus Medical Inc,11.81%,52.00%,33.38%,68.10%,-88.20%,1.94
ACVA,ACV Auctions Inc,1.34%,20.00%,5.60%,-13.49%,-66.53%,1.59
ADAG,Adagene Inc,-2.00%,-24.00%,-34.61%,-56.24%,-91.58%,0.16
ADGI,Adagio Therapeutics Inc,11.48%,4.00%,-13.40%,45.60%,-82.67%,1.58
ADMG,Adamant DRI Processing&Minerals Group,-0.78%,0.00%,162.69%,47.70%,121.13%,
ADMP,Adamis Pharmaceuticals Corp,-2.39%,-28.00%,-33.21%,1.45%,-61.29%,0.8
ADX,Adams Diversified Equity Fund Inc,0.77%,9.00%,-0.60%,-0.42%,-12.42%,0.99
PEO,Adams Natural Resources Fund Inc,1.32%,10.00%,-1.13%,-7.91%,44.21%,0.54
AE,Adams Resources & Energy Inc,5.20%,13.00%,2.71%,-2.34%,42.53%,0.33
AHCO,Adapthealth Corp,-5.75%,19.00%,8.79%,54.81%,0.28%,1.14
ADAP,Adaptimmune Therapeutics PLC - ADR,18.56%,34.00%,18.00%,61.63%,-32.11%,1.23
ADPT,Adaptive Biotechnologies Corp,27.60%,32.00%,15.11%,81.61%,-61.31%,2.25
ADRA,Adara Acquisition Corp,0.00%,0.00%,-9.43%,-5.20%,7.43%,0.01
ADCT,ADC Therapeutics SA,10.10%,0.00%,-18.49%,8.84%,-68.71%,1.5
ADUS,Addus Homecare Corporation,-1.33%,6.00%,-1.84%,12.46%,9.68%,0.81
AEY,"ADDvantage Technologies Group, Inc.",6.72%,11.00%,-2.18%,24.91%,-36.95%,0.84
,Adecoagro SA,7.08%,21.00%,6.16%,-17.20%,-8.32%,0.81
ADIL,Adial Pharmaceuticals Inc,-2.02%,-66.00%,-69.66%,-54.59%,-77.31%,0.23
ACET,Adicet Bio Inc,-5.26%,-4.00%,-14.69%,42.30%,145.39%,1.93
ADDYY,Adidas AG - ADR,0.00%,14.00%,0.00%,0.00%,0.00%,
ADNT,Adient PLC,1.59%,25.00%,10.36%,9.48%,-7.32%,2.1
ADEX,Adit EdTech Acquisition Cor,0.10%,0.00%,-9.43%,-6.25%,7.45%,0
ADTX,Aditxt Inc,-2.36%,-5.00%,-15.67%,-49.96%,-92.39%,1.6
ADMQ,Adm Endeavors Inc,-8.78%,28.00%,-7.33%,-14.74%,-44.54%,
ADMT,"ADM Tronics Unlimited, Inc.",0.00%,-25.00%,-26.77%,-46.32%,-58.49%,
ADMA,ADMA Biologics Inc,0.95%,-5.00%,-15.67%,38.57%,45.07%,0.98
ADBE,Adobe Inc,3.26%,18.00%,6.43%,8.02%,-25.69%,1.4
ADSE,Ads-Tec Energy PLC,3.64%,12.00%,-3.68%,21.46%,-16.99%,0.62
ADT^E16,ADT Inc,8.62%,17.00%,7.65%,13.48%,-8.85%,1.3
ATGE,Adtalem Global Education Inc,-2.88%,0.00%,-7.11%,17.85%,12.12%,0.6
,AdTheorent Holding Company Inc,-10.22%,6.00%,-3.52%,-66.11%,-69.81%,0.29
ADTN,Adtran Holdings Inc,-1.82%,26.00%,11.84%,29.44%,8.88%,0.93
AAP,"Advance Auto Parts, Inc.",-0.30%,3.00%,-5.15%,-9.50%,-1.71%,0.85
ABMT,Advanced Biomedical Technologies Inc,0.00%,-2.00%,-11.52%,13.48%,-21.31%,
ACTX,Advanced Container Technologies Inc,0.00%,-14.00%,-21.00%,-47.40%,-69.58%,
WMS^J13,Advanced Drainage Systems Inc,18.78%,52.00%,40.38%,42.94%,28.94%,1.42
ADES,Advanced Emissions Solutions Inc,-0.21%,6.00%,-5.32%,-13.62%,-28.18%,0.61
AEIS,"Advanced Energy Industries, Inc.",1.31%,25.00%,13.51%,18.43%,10.66%,1.39
AHI,Advanced Human Imaging Ltd - ADR,4.11%,-5.00%,-19.54%,-41.79%,0.00%,1.07
AVIFY,Advanced Info Service PCL (ADR),7.82%,5.00%,-0.59%,-10.03%,17.96%,
AMPI,Advanced Merger Partners Inc,0.00%,1.00%,-9.33%,-6.15%,6.68%,0
AMD,"Advanced Micro Devices, Inc.",0.98%,26.00%,15.38%,5.30%,-1.97%,2.02
AVOI,Advanced Voice Recognition Systems Inc,-19.08%,35.00%,58.02%,-38.97%,-41.92%,
ASIX,AdvanSix Inc,1.38%,17.00%,6.36%,-19.10%,9.33%,1.27
ADV,Advantage Solutions Inc,-9.68%,-1.00%,-12.38%,-15.77%,-55.68%,0.98
ATEYY,Advantest Corp (ADR),0.66%,20.00%,8.86%,-9.98%,-29.17%,
ADXS,"Advaxis, Inc.",-5.87%,-8.00%,-22.51%,-33.67%,-89.01%,
AVK,Advent Convertible and Income Fund,2.53%,11.00%,1.57%,4.73%,-21.46%,0.87
ADN,Advent Technologies Holdings Inc,8.36%,15.00%,3.90%,66.79%,-62.44%,-1.9
ADVM,Adverum Biotechnologies Inc,10.79%,-12.00%,-20.54%,47.98%,-34.83%,0.75
IMPX,AEA-Bridges Impact Corp,-0.10%,0.00%,-9.43%,-5.87%,8.20%,0.01
ACM,Aecom,4.47%,17.00%,5.75%,6.49%,26.29%,0.87
AGLE,Aeglea Bio Therapeutics Inc,18.48%,-2.00%,-13.41%,-67.99%,-92.36%,0.99
AEFC,Aegon Funding Company LLC,0.00%,6.00%,0.00%,0.00%,0.00%,0.36
AEG,AEGON N.V. (ADR),6.18%,15.00%,2.94%,-12.21%,9.39%,1.05
AEHR,Aehr Test Systems,27.17%,125.00%,103.65%,138.23%,210.79%,2.41
AMTX,Aemetis Inc,33.25%,109.00%,78.89%,40.00%,12.79%,2.18
AENZ,Aenza SAA (ADR),-0.81%,-1.00%,-17.28%,-35.64%,-34.47%,0.14
ARBG,Aequi Acquisition Corp,0.20%,1.00%,-9.34%,-5.58%,8.10%,0
AER,AerCap Holdings N.V.,7.04%,19.00%,8.47%,3.89%,-6.92%,1.4
,Aerie Pharmaceuticals Inc,71.18%,45.00%,26.94%,85.34%,-12.70%,1.49
AKOM,Aerkomm Inc,0.00%,0.00%,-9.70%,-35.98%,142.25%,
AERC,AeroClean Technologies Inc,15.81%,-43.00%,-54.78%,169.33%,0.00%,0.82
AJRD,Aerojet Rocketdyne Holdings Inc,0.34%,3.00%,-5.07%,-0.73%,-6.20%,0.38
AVTE,Aerovate Therapeutics Inc,2.66%,42.00%,43.60%,98.88%,97.13%,1.29
AVAV,"AeroVironment, Inc.",2.24%,23.00%,10.08%,17.12%,-5.72%,1.06
ASLE,AerSale Corp,11.54%,26.00%,13.37%,38.96%,65.09%,1.09
AES,AES Corp,8.34%,20.00%,5.50%,14.40%,5.77%,0.97
AEHA,Aesther Healthcare Acquisition Corp,-0.29%,0.00%,-9.52%,-6.07%,0.00%,0.02
AIH,Aesthetic Medical International HldngsGL,-5.78%,8.00%,-15.67%,38.57%,-53.94%,0.66
AEZS,AEterna Zentaris Inc. (USA),3.39%,-10.00%,-15.43%,-18.33%,-70.65%,0.72
GMFI,Aetherium Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.03
AEMD,"Aethlon Medical, Inc.",-18.67%,32.00%,19.51%,37.15%,-70.42%,1.36
AEVA,Aeva Technologies Inc,-1.16%,31.00%,19.00%,55.29%,-53.13%,1.95
LIDR,Aeye Inc,2.36%,39.00%,16.80%,-39.70%,-71.67%,1.46
AFAQ,AF Acquisition Corp,0.10%,0.00%,-9.42%,-5.96%,7.46%,0.02
AFCG,AFC Gamma Inc,6.97%,17.00%,4.57%,1.91%,-5.58%,0.69
AMG,"Affiliated Managers Group, Inc.",2.57%,16.00%,7.99%,6.97%,-14.66%,1.44
AFMD,Affimed NV,11.45%,11.00%,-2.32%,5.59%,-44.55%,1.39
AFBI,Affinity Bancshares Inc,-2.33%,-1.00%,-10.80%,-7.42%,14.61%,0.07
AFRM,Affirm Holdings Inc,15.33%,69.00%,59.75%,134.98%,-40.88%,3.67
AFL,AFLAC Incorporated,4.58%,14.00%,2.08%,1.40%,14.69%,0.65
AGAC,African Gold Acquisition Corp,0.10%,1.00%,-9.15%,-5.77%,7.56%,0
AFTR,AfterNext HealthTech Acquisition Corp,-0.10%,0.00%,-9.33%,-6.05%,0.00%,0
AFYA,Afya Ltd,5.58%,31.00%,18.63%,-3.75%,-45.72%,1.3
MITT,AG Mortgage Investment Trust Inc,-7.74%,2.00%,-6.85%,-7.88%,-24.99%,0.73
AATP,Agape ATP Corp,0.00%,0.00%,-39.70%,-53.15%,0.00%,
AGBA,AGBA Acquisition Ltd,0.09%,0.00%,-9.62%,-6.20%,11.25%,0
AGCO,AGCO Corporation,4.67%,20.00%,8.52%,-9.75%,-13.28%,1.09
UAVS,Ageagle Aerial Systems Inc,4.36%,8.00%,-7.44%,-2.02%,-82.59%,2.22
AGESY,Ageas SA - ADR,0.00%,15.00%,0.00%,0.00%,0.00%,
AIFS,Agent Information Software Inc,0.00%,17.00%,-0.28%,-21.75%,-5.16%,
AGTX,Agentix Corp,0.00%,0.00%,-8.50%,-18.82%,-83.98%,
AGEN,Agenus Inc,2.30%,-7.00%,-16.58%,65.27%,-49.85%,1.64
AGE,AgeX Therapeutics Inc,6.87%,-3.00%,-4.23%,-7.29%,-43.26%,0.74
AGGR,Agile Growth Corp,0.10%,1.00%,-9.24%,-5.86%,7.01%,-0.02
AGRX,Agile Therapeutics Inc,12.12%,9.00%,-10.71%,-63.39%,-98.49%,2.48
A,Agilent Technologies Inc,-1.47%,12.00%,0.90%,8.71%,-10.74%,1.1
AGIL,AgileThought Inc,0.64%,-2.00%,-14.41%,3.54%,-50.35%,0.13
AGTI,Agiliti Inc,-16.39%,-17.00%,-24.20%,-11.27%,-7.77%,0.89
AGL,Agilon Health Inc,2.12%,2.00%,-5.50%,55.36%,-15.66%,1.58
AGYS,"Agilysys, Inc.",3.81%,9.00%,-2.67%,49.21%,-3.22%,0.87
AGIO,Agios Pharmaceuticals Inc,13.11%,24.00%,12.45%,28.73%,-32.41%,1.7
AGMH,AGM Group Holdings Inc,-3.06%,0.00%,-9.70%,3.25%,-78.81%,1.15
AGNC,AGNC Investment Corp,1.29%,10.00%,-2.38%,-3.45%,-18.02%,0.77
AEM,Agnico Eagle Mines Ltd (USA),7.26%,8.00%,-5.39%,-15.10%,-16.58%,0.17
API^E15,Agora Inc,-6.33%,1.00%,-19.18%,-20.32%,-81.82%,2
ADC,Agree Realty Corporation,2.47%,4.00%,-2.11%,9.87%,11.35%,0.39
AGRIP,Agribank FCB,1.23%,0.00%,-11.84%,-8.75%,-2.17%,
AGRI,AgriFORCE Growing Systems Ltd,-5.52%,-16.00%,-25.04%,10.23%,-38.71%,-0.11
AGFY,Agrify Corp,-21.76%,-16.00%,-24.47%,-54.46%,-94.73%,1.51
AGFS,AgroFresh Solutions Inc,3.35%,19.00%,4.41%,6.08%,-3.49%,0.59
AHRN,Ahren Acquisition Corp,-0.10%,0.00%,-9.43%,-7.00%,0.00%,0
AIAD,Aiadvertising Inc,1.23%,5.00%,-10.79%,-30.32%,-50.62%,
AIB^J17,AIB Acquisition Corp,0.00%,1.00%,-9.25%,-5.97%,0.00%,0.01
AIKI,Aikido Pharma Inc,9.15%,2.00%,-9.13%,13.22%,-53.03%,6.97
ALRN,Aileron Therapeutics Inc,32.49%,-17.00%,-32.29%,-54.35%,-80.38%,1.29
AIM^F13,AIM ImmunoTech Inc,8.26%,-1.00%,-7.75%,-28.55%,-60.76%,1.03
AIMAU,Aimfinity Investment I Corp,0.00%,0.00%,-8.79%,-6.44%,0.00%,
AIMD,Ainos Inc,-72.31%,0.00%,-56.64%,-58.80%,-77.24%,
AIRYY,Air China Ltd (ADR),0.00%,-10.00%,0.00%,0.00%,0.00%,
AFLYY,Air France KLM SA (ADR),1.89%,34.00%,23.76%,-17.23%,-22.85%,
AIRI,Air Industries Group,-5.68%,0.00%,-10.23%,-9.59%,-45.12%,0.29
AL,Air Lease Corp,2.61%,14.00%,6.36%,2.12%,-4.70%,1.33
APD,"Air Products & Chemicals, Inc.",8.11%,18.00%,5.21%,6.61%,0.74%,0.83
AIRT,"Air T, Inc.",-1.94%,9.00%,-3.32%,-11.92%,-49.91%,0.7
ATSG,Air Transport Services Group Inc.,-4.48%,13.00%,2.33%,-1.67%,23.87%,0.8
ABNB,Airbnb Inc,3.23%,30.00%,12.10%,-4.46%,-15.43%,1.97
EADSY,Airbus SE (ADR),0.00%,10.00%,0.00%,0.00%,0.00%,
AIRG,Airgain Inc,-5.52%,-8.00%,-21.20%,-24.77%,-52.95%,1.01
ANTE,Airnet Technology Inc(ADR),-8.33%,-14.00%,-22.51%,-4.24%,-49.00%,0.36
AIRS,Airsculpt Technologies Inc,13.73%,51.00%,31.55%,6.56%,0.00%,2.1
MIMO,Airspan Networks Holdings Inc,-0.32%,3.00%,-1.46%,26.38%,-66.66%,0.81
ASEKY,Aisin Corp (ADR),0.00%,5.00%,0.00%,0.00%,0.00%,
AIXN,AiXin Life International Inc,0.00%,19.00%,7.82%,-24.01%,-37.92%,
AJIA,Ajia Innogroup Holdings Ltd,0.00%,0.00%,-23.25%,-20.82%,-28.34%,
AKA,AKA Brands Holding Corp,7.22%,-25.00%,-31.95%,-38.86%,0.00%,1.7
AKAM,"Akamai Technologies, Inc.",-0.01%,11.00%,-1.68%,-8.55%,-12.50%,0.67
AKAN,Akanda Corp,24.21%,19.00%,13.39%,-10.33%,0.00%,0.47
AKTX,Akari Therapeutics PLC (ADR),26.19%,93.00%,54.48%,31.52%,-2.58%,0.37
AKBTY,Akbank T.A.S. (ADR),0.00%,11.00%,0.00%,0.00%,0.00%,
AKBA,Akebia Therapeutics Inc,6.45%,-4.00%,-16.27%,-6.89%,-83.41%,1.67
KERN,Akerna Corp,8.82%,-12.00%,-3.60%,-63.72%,-95.34%,1.65
AKRO,Akero Therapeutics Inc,18.04%,22.00%,8.74%,46.44%,-25.02%,1.02
AKUS,Akouos Inc,-3.06%,-23.00%,-33.50%,-14.35%,-75.64%,1.14
AKTS,Akoustis Technologies Inc,7.46%,43.00%,26.42%,26.17%,-44.83%,2.22
AKYA,Akoya Biosciences Inc,8.24%,14.00%,8.55%,55.38%,-7.68%,1.51
,Akso Health Group - ADR,3.85%,32.00%,19.51%,37.15%,-15.32%,1.19
AKZOY,Akzo Nobel NV  (ADR),5.58%,14.00%,2.55%,-19.71%,-38.53%,
ALG,"Alamo Group, Inc.",7.54%,18.00%,8.63%,14.36%,-5.51%,0.72
ALRM,AlarmCom Hldg Inc,5.23%,18.00%,6.78%,27.36%,-8.10%,0.95
ALK,"Alaska Air Group, Inc.",0.67%,13.00%,2.01%,-4.90%,-16.00%,1.27
APTL,Alaska Power & Telephone Co,0.00%,-6.00%,-51.50%,13.37%,47.85%,
TCRT,Alaunos Therapeutics Inc,20.00%,33.00%,14.26%,215.97%,2.09%,1.51
AIN,Albany International Corp.,3.53%,19.00%,9.45%,12.21%,28.34%,0.93
ALB,Albemarle Corporation,8.25%,29.00%,19.46%,13.77%,14.32%,1.48
ACI,Albertsons Companies Inc,7.39%,10.00%,-2.08%,-9.91%,4.36%,0.52
ALBO,Albireo Pharma Inc,17.29%,4.00%,-9.23%,-14.95%,-9.76%,0.84
AA,Alcoa Corp,9.20%,23.00%,10.70%,-12.65%,27.19%,1.36
ALDX,Aldeyra Therapeutics Inc,33.45%,46.00%,33.63%,196.49%,-14.86%,1.39
ALEC,Alector Inc,15.76%,18.00%,0.94%,58.83%,-48.88%,1.61
ALR,Alerislife Inc,14.91%,16.00%,3.31%,-3.59%,-67.75%,0.42
ALRS,Alerus Financial Corp,0.53%,10.00%,-3.26%,-10.98%,-13.60%,0.71
ALEX,Alexander & Baldwin Inc (Hawaii),1.45%,12.00%,1.96%,-8.59%,0.90%,0.82
ALX,"Alexander's, Inc.",-0.40%,8.00%,0.11%,3.86%,0.05%,0.46
ARE,Alexandria Real Estate Equities Inc,4.51%,17.00%,6.91%,-3.74%,-14.17%,0.87
AXU,Alexco Resource Corp. (USA),3.94%,27.00%,10.33%,-42.75%,-70.42%,0.76
ALF^J10,Alfi Inc,4.35%,14.00%,-0.74%,17.04%,-82.21%,1.46
ASTL,Algoma Steel Group Inc,5.28%,4.00%,-6.30%,5.64%,-7.02%,1.05
