Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
CUBI,Customers Bancorp Inc,2.91%,9.00%,0.47%,-7.04%,2.20%,1.56
CUTR,"Cutera, Inc.",-1.88%,28.00%,11.22%,-6.18%,-5.97%,1.65
CVSI,CV Sciences Inc,9.35%,6.00%,-4.34%,-47.63%,-88.77%,
CVBF,CVB Financial Corp.,2.06%,11.00%,0.39%,6.79%,41.62%,0.41
CVV,CVD Equipment Corporation,30.55%,51.00%,46.16%,41.64%,65.56%,0.76
CVT^K16,Cvent Holding Corp,2.14%,14.00%,5.60%,15.62%,-33.70%,0.98
CVI,"CVR Energy, Inc.",-1.26%,11.00%,2.57%,2.53%,176.32%,0.8
UAN,CVR Partners LP,-2.91%,26.00%,12.74%,-14.73%,140.85%,0.91
CVRX,CVRx Inc,-7.26%,31.00%,24.69%,61.14%,-55.15%,1.53
CVS,CVS Health Corp,2.63%,9.00%,0.54%,-0.75%,31.72%,0.59
CWPE,CW Petroleum Corp,0.03%,-19.00%,-27.28%,-34.98%,-16.68%,
CYAN,CYANOTECH CORP,-7.89%,-7.00%,-16.28%,-2.35%,0.70%,0.58
CYBR,Cyberark Software Ltd,6.10%,19.00%,5.49%,30.40%,16.23%,1.75
CLOQ,Cyberloq Technologies Inc,-0.83%,72.00%,55.73%,102.23%,-47.75%,
CYBL,Cyberlux Corp,-6.25%,20.00%,6.23%,-30.55%,-20.47%,
CYBE,CyberOptics Corporation,32.87%,60.00%,42.94%,21.57%,26.98%,0.76
CYCC,Cyclacel Pharmaceuticals Inc,14.66%,12.00%,3.53%,-5.83%,-73.41%,1.28
CYCN,Cyclerion Therapeutics Inc,3.17%,5.00%,-5.08%,64.64%,-70.25%,1.36
CYTH,Cyclo Therapeutics Inc,14.21%,5.00%,-11.28%,3.08%,-70.73%,0.61
CYIO,CYIOS Corp,-14.89%,-6.00%,-25.42%,-41.84%,-83.04%,
CBAY,CymaBay Therapeutics Inc,6.67%,25.00%,9.52%,126.06%,14.76%,1.13
CTEK,CynergisTek Inc,1.67%,2.00%,-9.70%,57.91%,-33.39%,0.02
CYN,Cyngn Inc,-5.12%,3.00%,-7.79%,-69.48%,0.00%,-1.81
CYRN,Cyren Ltd,1.15%,-9.00%,-20.14%,0.92%,-84.20%,0.95
CYT,Cyteir Therapeutics Inc,5.11%,-37.00%,-36.82%,39.07%,-88.09%,2.05
CTKB,Cytek Biosciences Inc,9.73%,30.00%,19.75%,94.88%,-39.29%,1.55
CYDY,CytoDyn Inc,-20.79%,100.00%,84.05%,119.92%,-40.21%,
CYTK,"Cytokinetics, Inc.",23.11%,22.00%,6.61%,33.59%,74.06%,1.04
CTMX,CytomX Therapeutics Inc,1.27%,14.00%,10.44%,-10.47%,-65.87%,1.07
