Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
ABMD,"ABIOMED, Inc.",61.92x,,12.62x,8.70x,54.34x,0.00x,15.30%,13.76%
ABM,"ABM Industries, Inc.",21.30x,,0.43x,1.82x,12.33x,41.16x,8.89%,3.47%
AXAS,Abraxas Petroleum Corp.,0.78x,,0.18x,0.22x,0.44x,3.86x,0.00%,17.80%
FAX,abrdn Asia Pacific Income Fund,--,,9.42x,0.79x,0.00x,34.14x,-16.75%,-11.18%
IAF,abrdn Australia Equity Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AEF^F14,abrdn Emerging Markets Eqty Incm Fd Inc,--,,19.61x,0.64x,0.00x,11.08x,-1.93%,-1.71%
AGD,Abrdn Global Dynamic Dividend Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
FCO,abrdn Global Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AWP,Abrdn Global Premier Properties Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ACP,abrdn Income Credit Strategies Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
JEQ,abrdn Japan Equity Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ASGI,abrdn Standard Globl Infrstrctr Incm Fnd,7.63x,,9.46x,0.83x,0.00x,0.00x,11.22%,11.20%
AOD,Abrdn Total Dynamic Dividend Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ASPA,Abri SPAC I Inc,--,,0.00x,1.38x,0.00x,0.00x,0.00%,0.00%
AGRPY,Absa Group Ltd (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ABSI,Absci Corp,--,,85.94x,1.15x,0.00x,2.32x,-99.82%,-38.65%
ABVC,ABVC Biopharma Inc,--,,142.08x,2.12x,0.00x,17.94x,-354.16%,-149.85%
ACIU,AC Immune SA,--,,0.00x,1.35x,0.00x,1.28x,-38.60%,-35.37%
ACTG,Acacia Research Corp,5.70x,,2.40x,0.70x,0.72x,31.82x,91.52%,39.14%
ASO,Academy Sports and Outdoors Inc,6.45x,,0.57x,2.50x,5.10x,30.99x,45.27%,13.72%
,Acadia Healthcare Company Inc,26.69x,4.19869,3.01x,2.74x,18.55x,33.93x,11.05%,6.00%
ACAD,ACADIA Pharmaceuticals Inc.,--,,5.09x,6.01x,0.00x,0.00x,-40.94%,-30.60%
AKR,Acadia Realty Trust,51.77x,5.50774,5.16x,0.96x,8.97x,43.52x,1.89%,1.20%
CAVG,ACC Aviation Holdings Ltd,--,,0.00x,0.00x,0.00x,330.83x,"-1,190.82%",-562.67%
ACEL,Accel Entertainment Inc,19.53x,,1.12x,5.27x,9.80x,67.18x,30.74%,7.55%
AAQC,Accelerate Acquisition Corp,104.89x,,0.00x,1.30x,0.00x,0.00x,1.24%,1.17%
AXDX,Accelerate Diagnostics Inc,--,,13.39x,0.00x,0.00x,195.74x,0.00%,-82.99%
ACN,Accenture Plc,30.70x,3.46982,3.36x,9.37x,25.10x,0.27x,32.55%,15.27%
ACCO,ACCO Brands Corporation,5.94x,,0.32x,0.75x,3.36x,57.45x,13.35%,3.52%
ACCD,Accolade Inc,--,,2.54x,1.56x,0.00x,34.46x,-85.89%,-45.45%
ENER,Accretion Acquisition Corp,--,,0.00x,1.27x,0.00x,0.00x,0.00%,0.00%
ARAY,Accuray Incorporated,--,,0.47x,3.92x,0.00x,77.84x,-19.96%,-2.72%
ACEV,ACE Convergence Acquisition Corp,18.82x,,0.00x,2.67x,8.22x,2.85x,13.66%,10.42%
ACBA,Ace Global Business Acquisition Ltd,--,,0.00x,1.44x,0.00x,0.00x,-5.60%,-4.83%
ACRX,AcelRx Pharmaceuticals Inc,--,,12.58x,0.00x,0.00x,0.00x,0.00%,-43.71%
ACER,Acer Therapeutics Inc,--,,75.11x,0.00x,0.00x,432.96x,0.00%,-52.49%
AVHI,Achari Ventures Holdings Corp I,--,,0.00x,1.29x,0.00x,0.00x,0.00%,0.00%
ACHV,Achieve Life Sciences Inc,--,,0.00x,2.37x,0.00x,41.45x,-127.04%,-88.12%
ACHL,Achilles Therapeutics PLC (ADR),--,,0.00x,0.47x,0.00x,0.00x,-29.05%,-25.96%
ACIW,ACI Worldwide Inc,20.46x,,2.08x,2.50x,10.68x,47.35x,12.74%,4.76%
ACKIU,Ackrell SPAC Partners I Co,--,,0.00x,1.38x,0.00x,2.07x,-1.31%,-1.29%
ACON,Aclarion Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ACRS,Aclaris Therapeutics Inc,--,,183.48x,4.78x,0.00x,0.00x,-35.47%,-29.42%
ACMR,ACM Research Inc,41.01x,2.05046,3.76x,1.92x,46.70x,3.42x,7.89%,5.24%
ACU,Acme United Corporation,14.09x,,0.52x,1.26x,12.04x,43.54x,10.30%,5.04%
ACNB,ACNB Corporation,11.31x,,3.18x,1.22x,9.74x,0.00x,10.55%,1.00%
ACOR,Acorda Therapeutics Inc,--,,0.05x,0.07x,0.00x,67.79x,-85.38%,-26.47%
ACFN,Acorn Energy Inc,--,,3.11x,0.00x,0.00x,0.00x,0.00%,-2.75%
ACR,Acres Commercial Realty Corp,--,,0.71x,0.19x,14.35x,80.46x,-1.02%,0.71%
ACAC,ACRI Capital Acquisition Corp,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ACBM,ACRO Biomedical Co Ltd,--,,193.48x,420.06x,0.00x,3.17x,"-1,818.59%","-1,387.40%"
ACRO,Acropolis Infrastructure Acquisitin Corp,--,,0.00x,1.28x,0.00x,0.90x,-1.58%,-1.50%
ASNS,Actelis Networks Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ATNM,Actinium Pharmaceuticals Inc,--,,91.92x,1.82x,0.00x,0.06x,-35.23%,-32.85%
ATVI,"Activision Blizzard, Inc.",33.81x,6.60019,8.28x,3.47x,28.11x,16.51x,10.88%,7.73%
AYI,"Acuity Brands, Inc.",17.26x,1.93484,1.51x,3.09x,12.67x,24.33x,18.53%,10.22%
ABOS,Acumen Pharmaceuticals Inc,--,,0.00x,0.99x,0.00x,0.00x,-96.98%,-63.05%
ACUR,"Acura Pharmaceuticals, Inc.",--,,2.90x,48.21x,0.00x,70.59x,0.00%,-63.86%
ACXP,Acurx Pharmaceuticals Inc,--,,0.00x,4.59x,0.00x,0.00x,-211.90%,-194.96%
GOLF,Acushnet Holdings Corp,23.16x,,1.62x,3.35x,17.30x,26.27x,14.61%,7.94%
AFIB,Acutus Medical Inc,--,,2.63x,0.66x,0.00x,38.19x,-152.07%,-87.55%
ACVA,ACV Auctions Inc,--,,3.04x,2.23x,0.00x,10.18x,-15.96%,-9.28%
ADAG,Adagene Inc,--,,6.33x,0.41x,0.00x,4.57x,-217.98%,-53.46%
ADGI,Adagio Therapeutics Inc,--,,0.00x,0.95x,0.00x,0.00x,-162.21%,-88.69%
ADMG,Adamant DRI Processing&Minerals Group,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ADMP,Adamis Pharmaceuticals Corp,--,,28.24x,3.49x,0.00x,10.42x,-87.00%,-55.62%
ADX,Adams Diversified Equity Fund Inc,--,,58.67x,0.94x,0.00x,0.00x,-9.85%,-9.65%
PEO,Adams Natural Resources Fund Inc,4.29x,,25.25x,0.92x,0.00x,0.00x,23.92%,23.79%
AE,Adams Resources & Energy Inc,10.29x,,0.06x,0.95x,4.48x,6.86x,9.58%,3.78%
AHCO,Adapthealth Corp,25.81x,1.03229,1.13x,1.47x,7.10x,50.72x,6.23%,2.82%
ADAP,Adaptimmune Therapeutics PLC - ADR,--,,32.03x,2.64x,0.00x,0.00x,-83.86%,-45.25%
ADPT,Adaptive Biotechnologies Corp,--,,11.29x,3.48x,0.00x,0.00x,-38.32%,-25.24%
ADRA,Adara Acquisition Corp,279.84x,,0.00x,1.27x,0.00x,0.00x,0.45%,0.44%
ADCT,ADC Therapeutics SA,--,,7.71x,3.81x,0.00x,65.34x,-84.74%,-37.40%
ADUS,Addus Homecare Corporation,34.04x,2.26946,1.67x,2.52x,25.69x,24.66x,7.76%,4.79%
AEY,"ADDvantage Technologies Group, Inc.",--,,0.24x,2.26x,0.00x,20.86x,-49.57%,-18.72%
,Adecoagro SA,5.64x,,0.85x,0.85x,2.54x,52.47x,17.11%,6.48%
ADIL,Adial Pharmaceuticals Inc,--,,0.00x,1.15x,0.00x,0.00x,-214.36%,-154.92%
ACET,Adicet Bio Inc,--,,17.14x,2.13x,0.00x,0.00x,-13.18%,-11.59%
ADDYY,Adidas AG - ADR,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ADNT,Adient PLC,4.33x,0.14146,0.26x,1.60x,2.79x,52.19x,44.29%,9.02%
ADEX,Adit EdTech Acquisition Cor,--,,0.00x,1.31x,279.63x,0.06x,-0.52%,-0.49%
ADTX,Aditxt Inc,--,,28.29x,1.53x,0.00x,11.71x,-572.32%,-308.98%
ADMQ,Adm Endeavors Inc,10.50x,,0.96x,2.74x,8.02x,12.77x,37.94%,24.35%
ADMT,"ADM Tronics Unlimited, Inc.",--,,1.15x,2.68x,0.00x,20.39x,-67.00%,-32.71%
ADMA,ADMA Biologics Inc,--,,4.43x,3.28x,0.00x,52.17x,-65.38%,-28.79%
ADBE,Adobe Inc,42.82x,2.64847,12.29x,14.76x,35.92x,22.78x,35.13%,18.84%
ADSE,Ads-Tec Energy PLC,--,,11017.98x,3757.19x,0.00x,9.01x,0.00%,0.00%
ADT^E16,ADT Inc,--,,1.24x,2.14x,3.97x,74.44x,-0.77%,-0.14%
ATGE,Adtalem Global Education Inc,--,,1.34x,1.17x,17.03x,45.11x,-1.38%,-0.59%
,AdTheorent Holding Company Inc,--,,0.00x,3.25x,0.00x,0.00x,0.00%,0.00%
ADTN,Adtran Holdings Inc,--,,3.03x,3.42x,1183.01x,0.00x,-3.76%,-2.36%
AAP,"Advance Auto Parts, Inc.",21.68x,1.41678,1.07x,4.09x,14.08x,28.98x,17.78%,4.78%
ABMT,Advanced Biomedical Technologies Inc,--,,35.90x,0.00x,0.00x,0.00x,0.00%,-222.12%
ACTX,Advanced Container Technologies Inc,--,,6.60x,14.81x,0.00x,24.91x,-32.51%,-17.68%
WMS^J13,Advanced Drainage Systems Inc,31.87x,,3.97x,10.20x,22.89x,52.33x,36.02%,13.47%
ADES,Advanced Emissions Solutions Inc,2.01x,,0.86x,0.63x,1.78x,2.64x,35.81%,26.17%
AEIS,"Advanced Energy Industries, Inc.",25.01x,,2.22x,3.81x,17.71x,29.28x,15.83%,7.80%
