Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
CPSI,"Computer Programs & Systems, Inc.",23.43x,,1.48x,1.94x,11.50x,37.72x,8.52%,4.61%
CSVI,"Computer Services, Inc.",16.56x,,3.21x,3.76x,0.00x,0.00x,24.17%,14.75%
CTG,"Computer Task Group, Inc.",8.09x,0.53945,0.33x,1.29x,6.98x,0.00x,16.47%,8.31%
CIX,CompX International Inc.,16.32x,,1.97x,1.70x,13.40x,0.00x,10.65%,9.67%
SCOR,"COMSCORE, Inc.",--,,0.53x,0.93x,37.41x,3.84x,-17.82%,-3.53%
COMS,COMSovereign Holding Corp,--,,1.06x,0.08x,0.00x,17.72x,-40.24%,-30.93%
CHCI,Comstock Holding Companies Inc,2.12x,,1.13x,1.85x,2.10x,16.98x,142.34%,50.45%
LODE,Comstock Inc,--,,52.08x,0.48x,0.00x,17.67x,-55.23%,-42.46%
CRK,Comstock Resources Inc,14.42x,,1.39x,2.94x,4.76x,63.45x,28.76%,6.72%
CMTL,Comtech Telecomm. Corp.,--,,0.67x,0.70x,52.01x,18.27x,-6.08%,-2.07%
CAG,Conagra Brands Inc,18.68x,2.09752,1.43x,1.88x,14.76x,50.33x,10.24%,3.33%
CNGA,Conair Corp,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
CNXC,Concentrix Corp,15.46x,,1.17x,2.52x,9.35x,45.79x,17.15%,7.81%
CNCE,Concert Pharmaceuticals Inc,--,,598.14x,2.70x,0.00x,0.00x,-99.46%,-76.34%
CND,Concord Acquisition Corp,--,,0.00x,1.36x,0.00x,0.04x,-1.95%,-1.84%
CNDA,Concord Acquisition II Corp,24.04x,,0.00x,1.27x,0.00x,0.00x,10.53%,10.02%
CCM,Concord Medical Services Hldg Ltd (ADR),--,,1.18x,0.00x,0.00x,47.46x,0.00%,-9.04%
CLEV,Concrete Leveling Systems Inc,--,,32272.63x,0.00x,0.00x,0.00x,0.00%,-182.16%
BBCP,Concrete Pumping Holdings Inc,28.95x,,1.17x,1.55x,5.86x,57.95x,5.26%,1.92%
CNDT,Conduent Inc,10.73x,-0.89386,0.25x,0.80x,2.57x,48.78x,8.05%,2.67%
CFLT,Confluent Inc,--,,18.75x,11.46x,0.00x,57.61x,-48.96%,-24.20%
CFMS,ConforMIS Inc,--,,0.92x,0.76x,0.00x,21.77x,-60.76%,-42.30%
CNFR,Conifer Holdings Inc,21.49x,,0.14x,0.48x,33.65x,55.98x,2.00%,0.01%
CNMD,Conmed Corp,--,,2.95x,0.00x,0.00x,0.00x,0.00%,0.00%
CONN,Conn's Inc,4.76x,,0.17x,0.48x,2.30x,50.84x,11.92%,4.05%
CNTB,Connect Biopharma Holdings Ltd (ADR),--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
CNLPL,Connecticut Light and Power Co,0.74x,,0.01x,0.06x,0.04x,44.16x,8.55%,3.29%
CNOB,ConnectOne Bancorp Inc,8.87x,,3.63x,1.05x,8.35x,0.00x,12.40%,1.56%
CNXA,Connexa Sports Technologies Inc,--,,0.74x,0.00x,0.00x,0.00x,0.00%,-500.89%
COP,ConocoPhillips,7.90x,-1.92275,1.87x,2.43x,5.31x,25.27x,33.68%,17.77%
CNRD,"Conrad Industries, Inc.",3.35x,,0.25x,0.93x,2.39x,0.00x,24.41%,16.32%
CCSI,Consensus Cloud Solutions Inc,--,,0.00x,0.00x,0.00x,165.60x,0.00%,0.00%
CSLM,Consilium Acquisition I Ltd Corp,--,,0.00x,1.09x,0.00x,0.00x,0.00%,0.00%
CEIX,Consol Energy Inc,21.21x,0.66285,1.29x,2.93x,6.65x,39.90x,18.04%,4.75%
CNSL,Consolidated Communications Holdings Inc,--,,0.64x,1.90x,4.82x,74.40x,-37.12%,-2.93%
ED,"Consolidated Edison, Inc.",21.67x,9.14954,2.42x,1.72x,9.85x,55.12x,8.07%,2.29%
CWCO,Consolidated Water Co. Ltd.,52.03x,6.50377,3.28x,1.44x,19.27x,0.12x,2.80%,2.91%
CSTA,Constellation Acquisition Corp I,117.21x,,0.00x,1.30x,0.00x,0.00x,1.12%,1.05%
STZ,"Constellation Brands, Inc.",39.49x,6.46614,4.99x,3.96x,27.60x,48.71x,10.70%,4.99%
CEG^C12,Constellation Energy Corp,--,,0.00x,2.29x,0.00x,30.04x,0.00%,0.00%
,Constellium SE,8.42x,,0.27x,3.49x,3.84x,78.16x,69.58%,5.17%
ROAD,Construction Partners Inc,98.42x,,1.31x,3.62x,19.36x,45.09x,3.89%,1.81%
CPSS,"Consumer Portfolio Services, Inc.",4.48x,,0.94x,1.38x,4.92x,91.87x,45.61%,3.44%
CBKM,"Consumers Bancorp, Inc.",5.32x,,1.60x,1.08x,0.00x,0.00x,18.07%,1.24%
TCS,Container Store Group Inc,4.90x,,0.34x,0.84x,3.42x,30.15x,18.56%,6.46%
CTGO,Contango ORE Inc,--,,0.00x,7.82x,0.00x,0.00x,-83.27%,-71.87%
CNTX,Context Therapeutics Inc,--,,0.00x,0.65x,0.00x,0.00x,-93.06%,-52.77%
WISH,ContextLogic Inc,--,,0.75x,1.50x,0.00x,0.00x,-34.78%,-18.78%
CTTAY,Continental AG (ADR),12.31x,5.59696,0.39x,1.02x,4.03x,32.68x,8.19%,2.94%
CLR,"Continental Resources, Inc.",8.40x,-3.38288,3.17x,2.73x,5.16x,40.16x,37.43%,16.39%
CFRX,ContraFect Corp,--,,0.00x,0.37x,0.00x,0.00x,-76.70%,-46.17%
VLRS,Controladora Vuela Co Avcn SA CV (ADR),--,,0.44x,5.41x,3.36x,93.10x,-16.31%,-0.79%
CNVY,Convey Health Solutions Holdings Inc,--,,2.17x,1.42x,35.55x,33.11x,-2.18%,-1.18%
CONX,CONX Corp.,39.84x,,0.00x,1.31x,0.00x,0.00x,3.35%,3.12%
CPAA,Conyers Park III Acquisition Corp,83.69x,,0.00x,1.27x,0.00x,0.00x,0.00%,0.00%
WARM,Cool Technologies Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-167.81%
COO,Cooper Companies Inc,17.46x,1.09151,5.22x,2.34x,12.81x,31.68x,14.39%,9.12%
CPS,Cooper-Standard Holdings Inc,--,,0.08x,0.80x,0.00x,82.29x,-85.86%,-14.10%
CTKYY,CooTek (Cayman) Inc,--,,0.01x,0.00x,0.00x,148.89x,0.00%,-18.01%
CPA,"Copa Holdings, S.A.",11.34x,0.69761,1.10x,2.26x,4.82x,55.95x,21.62%,6.33%
CPRT,"Copart, Inc.",28.66x,,9.09x,7.03x,25.19x,8.47x,28.47%,22.26%
CRZN,Corazon Capital V838 Monoceros Corp,30.28x,,0.00x,1.30x,0.00x,0.00x,4.37%,4.02%
CRBP,Corbus Pharmaceuticals Holdings Inc,--,,136.62x,0.52x,0.00x,24.03x,-51.11%,-33.09%
CORT,Corcept Therapeutics Incorporated,29.47x,-0.71189,7.58x,6.69x,26.13x,0.00x,23.36%,21.17%
LVRLF,CordovaCann Corp,--,,1.70x,4.84x,0.00x,54.25x,-71.43%,-29.31%
CNM,Core & Main Inc,26.11x,,1.05x,4.07x,12.09x,43.19x,21.04%,7.69%
CLB,Core Laboratories N.V.,88.82x,26.91645,1.59x,4.52x,28.39x,51.83x,5.48%,1.55%
CMT,"Core Molding Technologies, Inc.",20.01x,,0.32x,0.95x,6.22x,21.77x,4.91%,2.68%
CORZ,Core Scientific Inc,--,,1.55x,0.94x,0.00x,52.67x,0.00%,0.00%
CCRD,CoreCard Corp,12.89x,,3.25x,4.08x,10.08x,0.00x,36.06%,28.60%
CXW,Corecivic Inc,13.29x,,0.61x,0.83x,5.14x,49.26x,6.60%,2.62%
CORR,Corenergy Infrastructure Trust Inc,--,,0.27x,3.50x,1.79x,44.60x,-66.07%,2.49%
CRTG,Coretec Group Inc,--,,0.00x,3.05x,0.00x,31.03x,-118.40%,-82.29%
CRMD,CorMedix Inc.,--,,1198.66x,2.19x,0.00x,0.00x,-39.99%,-37.57%
COOL,Corner Growth Acquisition Corp,38.04x,,0.00x,1.30x,0.00x,0.00x,3.49%,3.25%
TRON,Corner Growth Acquisition Corp 2,25.71x,,0.00x,1.31x,0.00x,0.00x,10.19%,9.69%
CLM,Cornerstone Strategic Value Fund Inc.,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
CRF,Cornerstone Total Return Fund Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
GLW,Corning Incorporated,15.82x,2.3496,2.13x,2.58x,8.83x,36.20x,16.90%,6.80%
CAAP,Corporacion America Airports SA,--,,1.05x,1.76x,9.83x,73.36x,-5.47%,-2.14%
OFC,Corporate Office Properties Trust,30.87x,8.34248,4.24x,1.88x,12.75x,55.83x,6.13%,2.59%
CIPI,Correlate Infrastructure Partners Inc,--,,301.02x,91.48x,0.00x,57.89x,-783.80%,-92.20%
CRSR,Corsair Gaming Inc,--,,1.05x,3.13x,71.94x,30.35x,-7.21%,-2.19%
CORS,Corsair Partnering Corp,43.37x,,0.00x,1.09x,0.00x,0.00x,4.99%,4.69%
CPROF,Cortelco Systems Puerto Rico Inc,--,,0.00x,1.01x,0.00x,0.00x,0.00%,0.00%
CTVA,Corteva Inc,24.89x,7.68525,2.59x,1.67x,14.37x,7.11x,6.87%,4.30%
CJREF,Corus Entertainment Inc. (USA),5.74x,1.79405,0.48x,0.69x,0.88x,49.44x,12.93%,3.95%
CRVL,CorVel Corporation,43.60x,,4.17x,13.61x,30.83x,0.00x,30.45%,15.81%
CRVS,Corvus Pharmaceuticals Inc,--,,0.00x,0.45x,0.00x,0.00x,-43.41%,-37.96%
CSAN,Cosan SA - ADR,6.62x,,1.40x,2.53x,4.39x,58.65x,46.62%,7.19%
CSCMY,COSCO Shipping Interntnl(SNGPRE)Co Ltd,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
COSG,Cosmos Group Holdings Inc,--,,56.99x,0.00x,0.00x,0.00x,0.00%,-406.54%
COSM,Cosmos Holdings Inc,--,,0.12x,1.30x,0.00x,66.86x,"-1,620.06%",-12.21%
CMRE,Costamare Inc,3.18x,,1.57x,0.79x,2.41x,58.42x,28.17%,12.09%
CSGP,CoStar Group Inc,89.31x,,14.38x,5.03x,63.61x,14.38x,5.78%,4.55%
CSTI,Costar Technologies Inc,1.54x,,0.13x,0.57x,1.19x,53.22x,46.01%,12.36%
COST,Costco Wholesale Corporation,42.52x,6.0737,1.10x,11.98x,31.48x,24.30x,30.98%,9.46%
CTRA,Coterra Energy Inc,7.93x,0.24311,3.26x,1.85x,5.48x,20.39x,39.12%,22.47%
COTY,Coty Inc,59.90x,8.04072,1.20x,1.73x,9.44x,56.28x,3.67%,2.54%
BASE,Couchbase Inc,--,,6.40x,4.79x,0.00x,0.00x,0.00%,-34.80%
CPAQ,Counter Press Acquisition Corp,--,,0.00x,0.85x,0.00x,0.00x,0.00%,0.00%
COUP,Coupa Software Inc,--,,7.72x,17.32x,0.00x,86.04x,-53.90%,-11.20%
CPNG,Coupang Inc,--,,1.80x,17.08x,0.00x,28.50x,-54.85%,-16.85%
COUR,Coursera Inc,--,,4.26x,2.85x,0.00x,0.00x,-22.81%,-17.61%
CUZ,Cousins Properties Inc,15.78x,2.22321,6.04x,0.98x,8.10x,33.23x,6.26%,3.83%
,COVA Acquisition Corp,25.77x,,0.00x,0.00x,0.00x,0.00x,5.16%,4.75%
CVLG,Covenant Logistics Group Inc,6.68x,,0.40x,1.37x,3.48x,15.53x,24.15%,11.85%
CVET,Covetrus Inc,--,,0.63x,1.93x,19.03x,40.72x,-0.86%,-0.38%
COWN,Cowen Inc,8.33x,,0.66x,1.02x,6.47x,70.77x,13.54%,1.56%
CVUA,"CPI Aerostructures, Inc.",2.28x,,0.14x,0.00x,1.97x,122.55x,0.00%,12.78%
PMTS,CPI Card Group Inc,11.85x,,0.56x,0.00x,6.52x,154.95x,0.00%,7.34%
CPSH,CPS Technologies Corporation,13.96x,,2.05x,3.63x,12.36x,0.86x,31.52%,23.40%
CRAI,"CRA International, Inc.",16.56x,1.65608,1.18x,3.38x,12.25x,26.12x,21.47%,7.89%
CBRL,"Cracker Barrel Old Country Store, Inc.",18.14x,,0.74x,4.23x,9.89x,39.79x,22.25%,5.48%
CR,Crane Holdings Co,10.34x,3.03998,1.70x,3.01x,8.29x,33.77x,31.32%,12.65%
CRD/B,Crawford & Company,14.58x,,0.28x,1.72x,5.45x,57.94x,11.85%,2.91%
CRAWA,Crawford United Corp,20.54x,,0.67x,2.02x,10.64x,44.38x,10.43%,3.81%
CRZY,Crazy Woman Creek Bancorp Inc.,82.34x,,5.45x,2.08x,26.80x,0.00x,1.96%,0.34%
CRTD,Creatd Inc,--,,2.92x,7.68x,0.00x,27.63x,"-1,962.76%",-476.86%
CMCT,Creative Media & Community Trust Corp,--,,1.72x,2.80x,17.04x,35.40x,-43.53%,0.75%
CELZ,Creative Medical Technology Holdings Inc,--,,68.46x,0.52x,0.00x,0.00x,-303.65%,-184.41%
CREX,Creative Realities Inc,7.90x,,0.60x,0.76x,4.57x,44.73x,10.69%,3.39%
BAP,Credicorp Ltd. (USA),10.89x,0.78842,2.99x,1.64x,10.95x,0.00x,15.80%,1.73%
CACC,Credit Acceptance Corp.,10.40x,,3.89x,4.75x,8.81x,75.92x,40.34%,10.68%
CIK,Credit Suisse Asset Management In FndInc,10.34x,,10.99x,0.86x,0.00x,24.57x,8.36%,6.10%
CS,Credit Suisse Group AG (ADR),--,,0.78x,0.30x,0.00x,0.00x,-7.87%,-0.46%
DHY,Credit Suisse High Yield Bond Fund (ETF),--,,10.20x,0.89x,0.00x,31.07x,-4.12%,-2.95%
CRMZ,"CreditRiskMonitor.Com, Inc.",7.71x,,1.48x,4.07x,7.01x,0.00x,72.34%,17.11%
CRDO,Credo Technology Group Holding Ltd,--,,22.05x,7.00x,0.00x,0.00x,0.00%,0.00%
CRKR,Creek Road Miners Inc,--,,4.19x,0.81x,0.00x,56.56x,0.00%,-235.02%
CCAP,Crescent Capital BDC Inc,6.29x,,5.28x,0.81x,0.00x,49.02x,12.79%,6.54%
CRGY,Crescent Energy Co,--,,0.00x,5.85x,0.00x,38.49x,0.00%,0.00%
,Crescera Capital Acquisition Corp,--,,0.00x,1.38x,0.00x,0.08x,0.00%,0.00%
CEQP,Crestwood Equity Partners LP,--,,0.50x,1.92x,8.73x,55.44x,-0.07%,1.78%
CRESY,Cresud S.A.C.I.F. y A. (ADR),4.92x,,1.37x,0.77x,5.71x,44.36x,23.70%,4.53%
CXDO,Crexendo Inc,--,,1.91x,0.00x,0.00x,3.06x,-4.34%,-3.69%
CRH,CRH PLC (ADR),12.07x,,0.96x,1.50x,6.81x,36.76x,12.86%,5.85%
CRCT,Cricut Inc,13.74x,,1.28x,2.22x,11.51x,0.00x,18.40%,12.68%
CWGL,Crimson Wine Group Ltd,42.97x,,2.20x,0.84x,14.25x,9.26x,1.99%,1.72%
CRNX,Crinetics Pharmaceuticals Inc,--,,276.75x,3.43x,0.00x,0.00x,-52.76%,-47.64%
CRSP,Crispr Therapeutics AG,--,,415.13x,2.93x,0.00x,0.00x,-26.99%,-23.62%
CRTO,Criteo SA (ADR),21.91x,,0.79x,1.58x,6.81x,0.05x,7.65%,4.71%
BHAC,Crixus Bh3 Acquisition Co,--,,0.00x,1.31x,0.00x,0.00x,0.00%,0.00%
CROX,"Crocs, Inc.",8.61x,,1.64x,9.46x,8.11x,84.91x,127.28%,17.81%
CHBH,"Croghan Bancshares, Inc.",9.33x,,2.94x,1.17x,0.00x,0.00x,11.35%,1.30%
CCRN,"Cross Country Healthcare, Inc.",3.99x,0.14241,0.34x,2.08x,3.83x,33.33x,71.67%,30.14%
CRT,Cross Timbers Royalty Trust,14.81x,,13.49x,33.73x,0.00x,0.00x,137.63%,111.02%
CAPL,Crossamerica Partners LP,25.75x,,0.20x,15.70x,7.40x,91.47x,44.54%,2.68%
CFB,Crossfirst Bankshares Inc,9.86x,,3.75x,1.16x,8.89x,0.00x,11.91%,1.35%
CRWD,Crowdstrike Holdings Inc,--,,28.47x,42.26x,0.00x,39.85x,-18.58%,-5.36%
CCI,Crown Castle Inc,51.04x,8.6501,11.67x,10.01x,24.44x,73.03x,18.66%,3.96%
CRWS,"Crown Crafts, Inc.",6.35x,,0.72x,1.37x,5.68x,2.18x,22.63%,16.78%
CRKN,Crown Electrokinetics Corp.,--,,0.00x,1.93x,0.00x,0.14x,-188.76%,-162.01%
CCK,"Crown Holdings, Inc.",--,,0.93x,6.75x,41.31x,75.17x,-14.70%,-1.20%
CPTK,Crown PropTech Acquisitions,3120.25x,,0.00x,1.32x,782.43x,0.17x,0.17%,0.16%
CRU,Crucible Acquisition Corp,31.62x,,0.00x,1.32x,0.00x,1.06x,4.26%,3.89%
CZNI,Cruzani Inc,25.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
CCEL,"CRYO-CELL International, Inc.",29.91x,,1.63x,11.23x,15.68x,7.51x,40.10%,2.97%
CRYM,Cryomass Technologies Inc,--,,0.00x,4.91x,0.00x,1.74x,-146.62%,-103.29%
CYRX,CryoPort Inc,--,,8.79x,3.64x,0.00x,41.72x,-49.70%,-30.90%
DAOO,Crypto 1 Acquisition Corp,--,,0.00x,1.28x,0.00x,0.00x,0.00%,0.00%
CRCW,Crypto Co,--,,27.26x,0.00x,0.00x,404.73x,0.00%,-187.57%
TYDE,Cryptyde Inc,--,,11.49x,9.06x,0.00x,0.00x,0.00%,0.00%
LAW,CS Disco Inc,--,,13.16x,6.42x,0.00x,0.03x,-40.70%,-18.62%
CSBB,CSB Bancorp Inc (Ohio),9.08x,,2.84x,1.08x,0.00x,0.00x,11.72%,0.99%
CSGS,"CSG Systems International, Inc.",40.35x,,1.71x,4.84x,14.85x,50.61x,10.97%,3.47%
CCLP,CSI Compressco LP,--,,0.56x,0.00x,4.73x,101.08x,0.00%,-5.78%
CSPI,CSP Inc.,--,,0.80x,1.12x,445.41x,5.30x,-0.86%,-0.48%
CSWI,CSW Industrials Inc,27.97x,2.33062,3.11x,4.45x,18.83x,36.20x,16.92%,7.99%
CSX,CSX Corporation,19.03x,2.25026,5.23x,5.55x,13.52x,55.23x,29.66%,9.80%
CTIC,CTI BioPharma Corp,--,,47.01x,0.00x,0.00x,105.11x,-428.11%,-113.94%
CTO,CTO Realty Growth Inc,17.05x,,5.11x,0.92x,8.59x,44.30x,5.82%,3.66%
CTS,CTS Corporation,--,,2.43x,2.74x,251.54x,15.78x,-4.66%,-3.18%
CUBE,CubeSmart,46.24x,5.5053,12.05x,3.93x,21.05x,52.20x,9.83%,4.18%
CUE,Cue Biopharma Inc,--,,9.79x,1.91x,0.00x,14.23x,-73.63%,-56.00%
HLTH,Cue Health Inc,--,,0.00x,0.99x,0.00x,0.72x,0.00%,0.00%
CUEN,Cuentas Inc,--,,16.10x,1.93x,0.00x,2.89x,-153.19%,-109.13%
CUSI,"Cuisine Solutions, Inc.",--,,3.76x,12.53x,152.36x,19.43x,-0.72%,-0.43%
CFR,"Cullen/Frost Bankers, Inc.",20.59x,,6.00x,2.67x,17.48x,0.00x,11.23%,0.87%
CGEM,Cullinan Oncology Inc,--,,0.00x,1.49x,0.00x,0.00x,-17.52%,-17.84%
CULL,"Cullman Bancorp, Inc.",40.63x,,6.14x,0.85x,34.13x,0.00x,2.52%,0.57%
CULP,"Culp, Inc.",--,,0.21x,0.52x,14.27x,0.00x,-2.58%,-1.64%
CPIX,"Cumberland Pharmaceuticals, Inc.",--,,0.96x,0.85x,0.00x,32.90x,-14.90%,-7.00%
CMI,Cummins Inc.,15.53x,,1.26x,3.58x,11.48x,31.43x,24.67%,8.80%
CMLS,Cumulus Media Inc,5.02x,,0.18x,0.44x,1.85x,65.27x,9.63%,2.16%
CURR,Cure Pharmaceutical Holding Corp,--,,3.74x,1.91x,0.00x,59.33x,-94.96%,-37.23%
CVAC,CureVac BV,--,,0.00x,3.73x,0.00x,5.68x,0.00%,0.00%
CURI,Curiositystream Inc,--,,1.37x,0.73x,0.00x,0.00x,-21.48%,-16.09%
CRIS,"Curis, Inc.",--,,8.99x,1.54x,0.00x,0.00x,-65.00%,-36.59%
CURO,Curo Group Holdings Corp,10.59x,,0.28x,1.93x,4.40x,93.19x,22.33%,1.77%
CMOT,Curtiss Motorcycle Company Inc,--,,11.34x,0.00x,0.00x,0.00x,0.00%,-175.27%
CW,Curtiss-Wright Corp.,22.03x,2.65478,2.25x,2.96x,15.00x,39.30x,13.71%,6.08%
SRV,Cushing MLP&Infrastructure Ttl Rtrn Fnd,2.84x,,3.48x,0.86x,0.00x,29.42x,34.68%,25.69%
CWK,Cushman & Wakefield PLC,10.28x,1.4021,0.36x,2.29x,6.93x,67.24x,25.96%,4.77%
CTOS,Custom Truck One Source Inc,--,,1.15x,1.94x,17.40x,60.88x,-39.72%,-8.97%
CUBI,Customers Bancorp Inc,3.81x,,1.51x,1.02x,3.41x,0.00x,30.41%,1.77%
CUTR,"Cutera, Inc.",--,,3.80x,38.97x,0.00x,92.66x,-175.46%,-19.69%
CVSI,CV Sciences Inc,--,,0.24x,1.12x,0.00x,23.24x,-186.63%,-59.84%
CVBF,CVB Financial Corp.,--,,0.00x,1.89x,0.00x,0.00x,0.00%,0.00%
CVV,CVD Equipment Corporation,8.17x,,2.43x,1.52x,7.20x,0.00x,20.62%,14.76%
CVT^K16,Cvent Holding Corp,--,,5.20x,1.89x,0.00x,10.93x,0.00%,0.00%
CVI,"CVR Energy, Inc.",10.26x,1.71013,0.35x,4.39x,4.20x,60.06x,52.56%,12.35%
UAN,CVR Partners LP,4.21x,,1.61x,2.79x,3.33x,54.24x,81.36%,28.79%
CVRX,CVRx Inc,--,,11.22x,1.43x,0.00x,0.00x,0.00%,-39.94%
CVS,CVS Health Corp,16.91x,5.80084,0.44x,1.82x,10.89x,42.06x,11.00%,3.54%
CWPE,CW Petroleum Corp,--,,1.19x,56.01x,0.00x,92.00x,0.00%,-5.14%
CYAN,CYANOTECH CORP,8.20x,,0.48x,0.89x,4.63x,19.85x,11.79%,6.84%
CYBR,Cyberark Software Ltd,--,,11.78x,8.95x,0.00x,45.85x,-15.42%,-6.49%
CLOQ,Cyberloq Technologies Inc,--,,55135.53x,0.00x,0.00x,0.00x,0.00%,-771.55%
CYBL,Cyberlux Corp,--,,14.58x,0.00x,0.00x,0.00x,0.00%,-32.90%
CYBE,CyberOptics Corporation,24.87x,0.99475,3.87x,4.51x,28.88x,0.00x,20.53%,16.30%
CYCC,Cyclacel Pharmaceuticals Inc,--,,0.00x,0.40x,0.00x,0.00x,-48.41%,-42.68%
CYCN,Cyclerion Therapeutics Inc,--,,21.98x,0.00x,0.00x,0.00x,-106.93%,-87.31%
CYTH,Cyclo Therapeutics Inc,--,,13.31x,1.45x,0.00x,0.00x,-95.15%,-76.45%
CYIO,CYIOS Corp,--,,2.50x,3.27x,0.00x,8.67x,-17.32%,-13.93%
CBAY,CymaBay Therapeutics Inc,--,,0.00x,3.28x,0.00x,42.29x,-85.28%,-59.42%
CTEK,CynergisTek Inc,--,,0.96x,0.69x,0.00x,0.00x,-9.54%,-7.78%
CYN,Cyngn Inc,--,,0.00x,1.72x,0.00x,0.00x,0.00%,0.00%
CYRN,Cyren Ltd,--,,0.46x,0.54x,0.00x,31.31x,-125.78%,-41.67%
CYT,Cyteir Therapeutics Inc,--,,0.00x,0.53x,0.00x,0.00x,-27.82%,-26.43%
CTKB,Cytek Biosciences Inc,--,,14.96x,5.09x,0.00x,0.00x,-1.03%,0.22%
CYDY,CytoDyn Inc,--,,2436.11x,0.00x,0.00x,270.32x,0.00%,-139.87%
CYTK,"Cytokinetics, Inc.",--,,32.85x,40.67x,0.00x,64.16x,-337.63%,-32.32%
CTMX,CytomX Therapeutics Inc,--,,1.44x,2.15x,0.00x,0.00x,-107.85%,-29.25%
CTSO,Cytosorbents Corp,--,,2.25x,1.79x,0.00x,0.00x,-58.32%,-41.98%
CYTR,CytRx Corporation,--,,0.00x,3.78x,0.00x,0.00x,-306.41%,-153.54%
CYCA,Cytta Corp,--,,1813.51x,19.46x,0.00x,0.00x,-224.28%,-189.58%
CYXT,Cyxtera Technologies Inc,--,,2.98x,3.06x,0.00x,74.10x,0.00%,0.00%
DNZ,D and Z Media Acquisition Corp,142.52x,,0.00x,1.30x,0.00x,0.21x,0.92%,0.86%
DHI,D R Horton Inc,5.04x,0.32923,0.85x,1.51x,4.80x,24.48x,34.93%,22.08%
QBTS,D-Wave Quantum Inc,83.71x,,0.00x,1.66x,0.00x,0.07x,2.01%,1.80%
DALS,Da32 Life Science Tech Acquisition Corp,--,,0.00x,1.27x,0.00x,0.00x,0.00%,0.00%
DBIN,Dacotah Banks Inc,14.25x,,4.56x,1.37x,15.43x,0.00x,9.84%,1.13%
DADA,Dada Nexus Ltd - ADR,--,,1.62x,1.42x,0.00x,1.20x,-32.43%,-26.11%
DJCO,Daily Journal Corporation,18.30x,,7.83x,1.58x,17.88x,24.66x,9.04%,5.61%
DTRUY,Daimler Truck Holding AG (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DLYT,Dais Corp,--,,3.27x,0.00x,0.00x,0.00x,0.00%,-911.97%
DC,Dakota Gold Corp,--,,0.00x,0.00x,0.00x,0.00x,-16.63%,-26.93%
DAKT,Daktronics Inc,322.48x,,0.29x,0.93x,11.16x,0.00x,0.31%,0.15%
DALN,Dallasnews Corp,--,,0.24x,1.04x,18.32x,0.00x,-3.31%,-1.23%
DFCO,Dalrada Financial Corporation,--,,1.15x,0.00x,0.00x,287.00x,0.00%,-15.37%
DAN,Dana Inc,24.31x,6.09876,0.25x,1.27x,4.74x,55.25x,5.27%,1.35%
DHR,Danaher Corporation,34.28x,3.11673,6.87x,4.71x,25.02x,30.10x,14.70%,7.95%
DAC,Danaos Corporation,2.23x,,1.80x,0.68x,1.88x,26.52x,35.26%,20.84%
DNMR,Danimer Scientific Inc,63.92x,,8.18x,1.01x,22.35x,34.91x,2.14%,1.24%
DANOY,Danone SA (ADR),21.98x,,1.39x,1.86x,11.54x,44.91x,8.94%,3.82%
DQ^B10,Daqo New Energy Corp (ADR),3.40x,,1.50x,1.30x,2.54x,0.00x,62.07%,48.34%
DRI,"Darden Restaurants, Inc.",17.51x,2.00899,1.65x,7.32x,12.03x,46.83x,38.10%,9.18%
DARE,Dare Bioscience Inc,--,,10.42x,3.16x,0.00x,0.00x,-148.09%,-91.20%
DRIO,DarioHealth Corp,--,,5.62x,1.23x,0.00x,0.00x,-70.32%,-61.79%
DPLS,Darkpulse Inc,--,,12.29x,10.55x,0.00x,20.76x,-262.13%,-50.31%
DAR,Darling Ingredients Inc,17.90x,,2.36x,3.49x,11.81x,32.89x,21.50%,11.38%
DSKE,Daseke Inc,8.96x,,0.26x,2.90x,3.15x,73.20x,43.53%,5.20%
DASTY,Dassault Systemes SE (ADR),71.02x,,10.81x,8.05x,41.10x,34.17x,12.78%,5.72%
DAIO,Data I/O Corporation,--,,1.30x,1.71x,0.00x,0.00x,-14.49%,-10.19%
DKDCA,Data Knights Acquisition Corp,20.12x,,0.00x,1.39x,0.00x,0.00x,13.22%,12.47%
DTST,Data Storage Corp,37.38x,,0.84x,0.77x,10.12x,8.50x,3.18%,2.12%
ATDS,Data443 Risk Mitigation Inc,--,,1.20x,0.00x,0.00x,0.00x,0.00%,-246.12%
DDOG,Datadog Inc,6549.50x,,27.28x,30.66x,1058.84x,37.76x,0.62%,0.28%
DTSS,Datasea Inc,--,,2.25x,8.08x,0.00x,0.00x,-186.04%,-84.76%
DTRK,"DATATRAK International, Inc.",--,,0.00x,3.73x,0.00x,46.78x,0.00%,0.00%
