Symbol,Company Name,52 Week Chg,Vs. 13-Day EMA*,Vs. 50-Day EMA*,% Below 52 Wk High,% Above 52 Wk Low,Short Interest as % Float
SPWH,Sportsman's Warehouse Holdings Inc,-43.00%,2.21%,2.95%,43.96%,18.91%,9.41%
PBF,PBF Energy Inc,266.00%,8.05%,10.98%,26.52%,347.79%,9.40%
THRY,Thryv Holdings Inc,-16.00%,8.39%,13.11%,34.68%,31.18%,9.37%
TCDA,Tricida Inc,225.00%,15.16%,24.43%,1.55%,251.05%,9.36%
SAM,Boston Beer Company Inc,-40.00%,1.97%,7.59%,42.89%,33.33%,9.35%
FULC,Fulcrum Therapeutics Inc,-65.00%,15.00%,17.92%,76.55%,141.74%,9.34%
HOFV,Hall of Fame Resort & Entertainment Co,-64.00%,11.87%,26.58%,71.19%,95.36%,9.34%
ARQT,Arcutis Biotherapeutics Inc,15.00%,4.48%,9.99%,4.86%,82.93%,9.32%
ODP,ODP Corp,-20.00%,4.64%,6.49%,22.92%,28.25%,9.32%
CERE,Cerevel Therapeutics Holdings Inc,63.00%,4.63%,15.43%,10.27%,108.56%,9.31%
FHTX,Foghorn Therapeutics Inc.,73.00%,9.89%,18.16%,30.16%,112.23%,9.30%
DDD,3D Systems Corporation,-61.00%,4.50%,9.65%,67.32%,34.66%,9.29%
NSTG,NanoString Technologies Inc,-72.00%,12.26%,12.09%,74.19%,44.69%,9.28%
AIRS,Airsculpt Technologies Inc,0.00%,22.65%,28.44%,49.78%,60.28%,9.27%
AMLX,Amylyx Pharmaceuticals Inc,0.00%,-0.07%,16.18%,20.65%,307.22%,9.27%
BTBT,Bit Digital Inc,-89.00%,12.70%,9.73%,89.61%,42.02%,9.27%
CEI,Camber Energy Inc,-18.00%,-0.20%,-21.38%,92.66%,7.88%,9.27%
YMAB,Y-mAbs Therapeutics Inc,-39.00%,2.88%,12.63%,47.08%,181.69%,9.26%
GCP,GCP Applied Technologies Inc,33.00%,0.03%,0.31%,2.51%,51.59%,9.25%
MP,Mp Materials Corp,5.00%,5.38%,8.32%,36.00%,40.17%,9.25%
SIX,Six Flags Entertainment Corp,-40.00%,1.98%,-2.99%,45.36%,29.86%,9.24%
SPT,Sprout Social Inc,-38.00%,7.95%,12.13%,54.06%,74.00%,9.23%
ANGI,Angi Inc,-50.00%,-2.86%,2.65%,65.15%,49.86%,9.22%
MIDD,Middleby Corp,-17.00%,6.50%,10.30%,25.10%,25.35%,9.21%
NNDM,Nano Dimension Ltd - ADR,-46.00%,4.66%,8.73%,48.85%,58.99%,9.19%
BBAI,BigBear.ai Holdings Inc,0.00%,-27.97%,-98.38%,87.59%,5.82%,9.18%
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",-83.00%,-1.64%,-48.87%,87.12%,13.21%,9.18%
PEB,Pebblebrook Hotel Trust,-9.00%,5.12%,4.57%,26.20%,21.70%,9.17%
ALPP,Alpine 4 Holdings Inc,0.00%,13.24%,21.07%,84.49%,55.69%,9.16%
HUSA,Houston American Energy Corporation,129.00%,-2.23%,-10.15%,77.00%,257.01%,9.16%
PRTK,Paratek Pharmaceuticals Inc,-45.00%,7.06%,14.14%,48.78%,83.13%,9.16%
DIN,Dine Brands Global Inc,-2.00%,4.00%,6.52%,20.37%,23.42%,9.15%
PD,Pagerduty Inc,-27.00%,2.89%,5.79%,41.63%,35.27%,9.15%
DUOL,Duolingo Inc,-24.00%,7.20%,11.33%,50.55%,67.57%,9.14%
MLAB,"Mesa Laboratories, Inc.",-29.00%,-2.20%,-4.67%,41.15%,10.03%,9.14%
RCII,Rent-A-Center Inc,-54.00%,10.73%,19.21%,56.35%,56.67%,9.14%
RYAN,Ryan Specialty Holdings Inc,51.00%,2.12%,8.59%,1.12%,54.83%,9.13%
ZOM,Zomedica Corp,-19.00%,10.83%,23.83%,51.88%,120.00%,9.13%
RL,Ralph Lauren Corp,-23.00%,1.17%,1.66%,29.76%,10.38%,9.12%
RNG,RingCentral Inc,-79.00%,2.97%,-8.70%,83.22%,11.82%,9.11%
RVP,"Retractable Technologies, Inc.",-62.00%,-5.42%,-1.28%,65.78%,45.13%,9.10%
CCRN,"Cross Country Healthcare, Inc.",20.00%,-9.05%,-4.99%,25.37%,49.21%,9.09%
JANX,Janux Therapeutics Inc,-57.00%,-1.67%,-0.38%,60.99%,48.46%,9.09%
MYTE,MYT Netherlands Parent BV-ADR,-48.00%,8.62%,19.72%,51.86%,65.78%,9.09%
WYNN,"Wynn Resorts, Limited",-33.00%,4.86%,8.34%,39.18%,30.18%,9.08%
EGRX,Eagle Pharmaceuticals Inc,-27.00%,-9.01%,-18.29%,39.91%,3.81%,9.07%
MVST,Microvast Holdings Inc,-75.00%,8.14%,0.58%,78.15%,42.00%,9.07%
CNMD,Conmed Corp,-18.00%,3.30%,0.71%,36.62%,15.60%,9.01%
LXP,LXP Industrial Trust,-17.00%,3.41%,2.33%,31.64%,10.32%,9.01%
AYRO,AYRO Inc,-74.00%,8.64%,12.28%,75.23%,48.30%,9.00%
RGNX,Regenxbio Inc,10.00%,0.49%,11.43%,25.40%,85.45%,9.00%
VNO,Vornado Realty Trust,-31.00%,3.76%,-0.32%,37.98%,7.17%,9.00%
VSCO,Victoria's Secret & Co,-49.00%,8.65%,11.15%,49.19%,46.75%,8.99%
CYCC,Cyclacel Pharmaceuticals Inc,-74.00%,13.61%,12.15%,78.20%,31.68%,8.98%
RKLY,Rockley Photonics Holdings Ltd,-84.00%,-8.54%,-20.15%,87.52%,15.85%,8.98%
MQ,Marqeta Inc,-60.00%,-15.02%,-12.94%,70.84%,82.64%,8.97%
WB,Weibo Corp (ADR),-65.00%,0.67%,-6.54%,65.72%,7.90%,8.96%
CHS,"Chico's FAS, Inc.",2.00%,10.06%,17.53%,13.07%,64.47%,8.95%
GNRC,Generac Holdings Inc.,-37.00%,8.77%,12.60%,50.48%,31.17%,8.95%
LEV,Lion Electric Co,-61.00%,2.21%,3.35%,65.73%,34.40%,8.95%
HPK,Highpeak Energy Inc,90.00%,-4.66%,-17.08%,45.59%,173.55%,8.92%
MNDY,Monday.Com Ltd,-43.00%,7.40%,15.05%,68.62%,64.69%,8.92%
AMR,Alpha Metallurgical Resources Inc,274.00%,9.06%,9.16%,26.85%,333.67%,8.90%
AHT,"Ashford Hospitality Trust, Inc.",-22.00%,12.21%,27.94%,36.78%,136.26%,8.90%
BPMC,Blueprint Medicines Corp,-25.00%,10.85%,19.10%,39.78%,63.32%,8.90%
FIZZ,National Beverage Corp.,24.00%,3.53%,9.38%,10.27%,43.44%,8.89%
SHLS,Shoals Technologies Group Inc,-20.00%,11.72%,25.68%,27.78%,177.87%,8.88%
GSL,Global Ship Lease Inc,5.00%,3.25%,4.77%,32.65%,38.30%,8.87%
JAGX,Jaguar Health Inc,-93.00%,3.64%,-10.07%,93.21%,10.98%,8.87%
SUNW,Sunworks Inc,-55.00%,30.29%,47.12%,58.19%,211.38%,8.84%
EGHT,"8x8, Inc.",-79.00%,5.50%,-8.84%,79.88%,23.93%,8.83%
ORMP,"Oramed Pharmaceuticals, Inc.",-58.00%,8.06%,21.92%,72.19%,144.29%,8.81%
CLNE,Clean Energy Fuels Corp,-5.00%,12.08%,25.70%,18.47%,96.52%,8.80%
FTDR,Frontdoor Inc,-41.00%,1.15%,1.33%,47.39%,26.11%,8.80%
PTGX,Protagonist Therapeutics Inc,-76.00%,4.81%,7.86%,77.34%,65.70%,8.80%
IDCC,InterDigital Inc,-24.00%,-3.90%,-8.23%,25.46%,3.05%,8.79%
SLP,Simulations Plus Inc,34.00%,1.12%,11.41%,7.16%,78.38%,8.78%
FTHM,Fathom Holdings Inc,-80.00%,14.45%,7.47%,80.10%,15.42%,8.76%
HLIT,Harmonic Inc,15.00%,2.79%,10.95%,8.84%,35.03%,8.76%
AMCX,AMC Networks Inc,-43.00%,-0.62%,-4.07%,46.54%,9.50%,8.75%
EVA,Enviva Inc,37.00%,3.20%,7.45%,17.21%,46.50%,8.73%
ESTA,Establishment Labs Holdings Inc,-8.00%,4.80%,8.92%,30.83%,38.25%,8.73%
ONON,On Holding AG,0.00%,8.05%,15.19%,57.22%,47.90%,8.73%
TCMD,Tactile Systems Technology Inc,-76.00%,9.11%,10.02%,77.81%,64.01%,8.73%
ENOB,Enochian Biosciences Inc,-57.00%,5.97%,-11.46%,80.48%,89.44%,8.72%
RES,"RPC, Inc.",97.00%,5.26%,3.67%,42.53%,122.82%,8.72%
OUST,Ouster Inc,-81.00%,3.67%,-4.74%,82.89%,19.08%,8.70%
SWBI,Smith & Wesson Brands Inc,-40.00%,3.70%,4.78%,42.33%,15.02%,8.70%
AR,Antero Resources Corp,200.00%,5.69%,9.58%,22.54%,246.47%,8.69%
PRAA,Pra Group Inc,-2.00%,0.43%,0.59%,24.45%,12.59%,8.68%
GPRO,GoPro Inc,-35.00%,4.30%,6.45%,44.39%,28.69%,8.66%
ENTA,Enanta Pharmaceuticals Inc,47.00%,6.26%,18.40%,33.44%,80.61%,8.65%
LPI,Laredo Petroleum Inc,48.00%,-3.84%,-10.09%,46.59%,78.07%,8.65%
ABSI,Absci Corp,-82.00%,16.87%,18.69%,84.32%,43.34%,8.63%
OMI,"Owens & Minor, Inc.",-10.00%,3.41%,3.82%,29.55%,17.29%,8.63%
ABG,"Asbury Automotive Group, Inc.",-6.00%,3.71%,5.92%,20.83%,24.87%,8.61%
PFHC,Profrac Holding Corp,0.00%,11.35%,11.63%,24.43%,35.43%,8.61%
ATHX,Athersys Inc,-83.00%,-2.75%,-14.52%,84.33%,66.04%,8.60%
