Symbol,Company Name,52 Week Chg,Vs. 13-Day EMA*,Vs. 50-Day EMA*,% Below 52 Wk High,% Above 52 Wk Low,Short Interest as % Float
SLM,SLM Corp,-16.00%,2.32%,-1.10%,24.33%,8.22%,3.24%
TKR,Timken Co,-16.00%,5.37%,11.50%,16.50%,31.27%,3.24%
DCTH,Delcath Systems Inc,-53.00%,9.15%,9.41%,63.52%,24.93%,3.23%
EC,Ecopetrol SA (ADR),-19.00%,5.10%,-4.10%,45.48%,16.00%,3.23%
FGBI,"First Guaranty Bancshares, Inc.",39.00%,2.68%,1.31%,16.69%,47.98%,3.23%
HCM,HUTCHMED (China) Ltd (ADR),-66.00%,3.15%,5.60%,67.06%,68.23%,3.23%
WASH,Washington Trust Bancorp Inc,3.00%,3.54%,7.73%,11.42%,18.42%,3.23%
ADVM,Adverum Biotechnologies Inc,-37.00%,-2.37%,5.62%,39.96%,93.63%,3.22%
AFMD,Affimed NV,-46.00%,-1.36%,-0.88%,54.97%,48.43%,3.22%
BFI,Burgerfi International Inc,-70.00%,-2.46%,-5.69%,70.90%,18.28%,3.22%
HLNE,Hamilton Lane Inc,-17.00%,4.69%,8.34%,35.65%,21.62%,3.22%
LNC,Lincoln National Corporation,-31.00%,4.20%,1.41%,37.59%,7.84%,3.22%
MCRB,Seres Therapeutics Inc,-25.00%,12.30%,21.74%,56.29%,104.40%,3.22%
SFL,SFL Corporation Ltd,43.00%,3.58%,5.00%,11.71%,46.49%,3.22%
BSY,Bentley Systems Inc,-35.00%,3.20%,9.48%,42.77%,56.38%,3.21%
MCRI,"Monarch Casino & Resort, Inc.",-1.00%,3.62%,4.99%,30.63%,21.07%,3.21%
OBSV,Obseva SA,-88.00%,-56.84%,-268.76%,89.85%,53.16%,3.21%
OLED,Universal Display Corporation,-38.00%,5.18%,6.65%,41.75%,25.10%,3.21%
VKTX,Viking Therapeutics Inc,-40.00%,9.19%,17.16%,49.86%,78.71%,3.21%
ARI,Apollo Commercial Real Est. Finance Inc,-16.00%,4.18%,8.71%,20.15%,35.60%,3.20%
AMBP,Ardagh Metal Packaging SA,-46.00%,2.62%,3.78%,47.30%,22.43%,3.20%
BRMK,Broadmark Realty Capital Inc,-34.00%,-2.70%,-3.21%,35.45%,13.07%,3.20%
FBNC,First Bancorp (North Carolina),-14.00%,3.13%,3.84%,27.85%,11.67%,3.20%
PRLB,Proto Labs Inc,-42.00%,-2.33%,-2.58%,44.05%,17.12%,3.20%
SBCF,Seacoast Banking Corporation of Florida,5.00%,0.55%,2.84%,12.67%,17.25%,3.20%
WCC,"WESCO International, Inc.",16.00%,7.10%,13.50%,6.25%,36.78%,3.20%
ACHV,Achieve Life Sciences Inc,-29.00%,-1.90%,-10.02%,46.78%,11.64%,3.19%
OZK,Bank Ozk,-5.00%,5.13%,8.16%,19.19%,19.37%,3.19%
CF,"CF Industries Holdings, Inc.",111.00%,5.60%,10.75%,9.85%,136.91%,3.19%
CVLT,"CommVault Systems, Inc.",-24.00%,2.95%,-0.17%,30.48%,8.69%,3.19%
GNW,Genworth Financial Inc,18.00%,3.52%,8.93%,4.99%,33.13%,3.19%
MU,"Micron Technology, Inc.",-13.00%,4.30%,3.51%,37.63%,19.46%,3.19%
QLGN,Qualigen Therapeutics Inc,-77.00%,-0.50%,-13.60%,86.38%,6.25%,3.19%
SNV,Synovus Financial Corp.,-4.00%,5.99%,8.53%,22.59%,23.33%,3.19%
LOTZ,Carlotz Inc,-84.00%,7.85%,7.57%,85.96%,77.41%,3.18%
FOA,Finance of America Companies Inc,-70.00%,-2.36%,-11.08%,76.49%,3.27%,3.18%
TBI,Trueblue Inc,-19.00%,4.15%,5.68%,35.40%,34.81%,3.18%
BLBD,Blue Bird Corp,-52.00%,8.05%,9.51%,53.61%,42.69%,3.17%
FPI,Farmland Partners Inc,27.00%,2.30%,4.06%,9.37%,40.21%,3.17%
LAND,Gladstone Land Corp,9.00%,1.13%,1.43%,38.93%,21.13%,3.17%
GXO,GXO Logistics Inc,-37.00%,2.48%,2.71%,53.47%,29.43%,3.17%
IPG,Interpublic Group of Companies Inc,-21.00%,2.34%,2.43%,25.54%,12.94%,3.17%
JHG,Janus Henderson Group PLC,-40.00%,4.68%,4.19%,46.86%,16.11%,3.17%
KREF,KKR Real Estate Finance Trust Inc,-7.00%,2.23%,4.36%,16.50%,18.64%,3.17%
REX,REX American Resources Corp,23.00%,3.28%,7.74%,12.96%,37.01%,3.17%
XRAY,DENTSPLY SIRONA Inc,-37.00%,2.79%,1.43%,41.30%,9.67%,3.16%
GPK,Graphic Packaging Holding Company,19.00%,3.64%,7.36%,2.18%,31.08%,3.16%
MRC,MRC Global Inc,20.00%,-5.75%,-5.73%,25.55%,56.90%,3.16%
NLOK,NortonLifeLock Inc,-7.00%,-1.43%,-0.13%,21.27%,12.95%,3.16%
WWR,Westwater Resources Inc,-63.00%,9.81%,15.43%,66.37%,49.00%,3.16%
WMS^J13,Advanced Drainage Systems Inc,23.00%,11.09%,24.18%,1.13%,77.04%,3.15%
AVEO,Aveo Pharmaceuticals Inc,29.00%,3.12%,15.89%,2.44%,161.44%,3.15%
RCEL,AVITA Medical Inc,-56.00%,3.22%,13.73%,63.27%,70.46%,3.15%
EBAY,eBay Inc,-30.00%,2.87%,5.26%,40.26%,19.69%,3.15%
JBT,John Bean Technologies Corp,-19.00%,5.20%,6.19%,34.87%,17.33%,3.15%
RAMP,Liveramp Holdings Inc,-50.00%,-8.13%,-17.42%,60.88%,3.61%,3.15%
NI,NiSource Inc.,19.00%,3.38%,4.99%,6.61%,28.67%,3.15%
PAYA,Paya Holdings Inc,-28.00%,2.72%,9.14%,37.68%,58.98%,3.15%
PLAB,"Photronics, Inc.",80.00%,8.20%,17.62%,4.22%,95.73%,3.15%
RMBS,Rambus Inc.,8.00%,6.01%,11.42%,22.84%,30.20%,3.15%
RMNI,Rimini Street Inc,-27.00%,-12.38%,-15.50%,50.52%,36.04%,3.15%
SURF,Surface Oncology Inc,-69.00%,6.41%,2.48%,78.40%,32.12%,3.15%
TRMK,Trustmark Corp,6.00%,3.64%,8.59%,6.63%,23.58%,3.15%
CGNX,Cognex Corporation,-41.00%,0.48%,-0.64%,48.00%,14.97%,3.14%
FSP,Franklin Street Properties Corp.,-33.00%,-4.91%,-18.47%,48.25%,1.88%,3.14%
HNNA,Hennessy Advisors Inc,-1.00%,1.21%,1.62%,13.01%,12.94%,3.14%
PKE,Park Aerospace Corp,-20.00%,2.73%,3.00%,20.51%,9.67%,3.14%
SPSC,"SPS Commerce, Inc.",12.00%,3.84%,10.03%,26.53%,32.92%,3.14%
DIOD,Diodes Inc,-12.00%,4.35%,10.02%,30.04%,36.26%,3.13%
FICO,Fair Isaac Corporation,11.00%,2.90%,10.06%,5.63%,47.18%,3.13%
GFS,Globalfoundries Inc,0.00%,14.69%,21.28%,27.41%,56.75%,3.13%
KAMN,Kaman Corporation,-24.00%,7.60%,6.83%,28.54%,18.93%,3.13%
MUX,McEwen Mining Inc,-68.00%,-5.02%,-27.26%,70.89%,11.88%,3.13%
NC,"NACCO Industries, Inc.",59.00%,9.05%,9.01%,30.62%,81.23%,3.13%
SMPL,Simply Good Foods Co,-7.00%,1.40%,-4.19%,26.72%,5.57%,3.13%
UBER,Uber Technologies Inc,-22.00%,8.63%,19.60%,32.90%,64.87%,3.13%
VRNS,Varonis Systems Inc,-48.00%,4.12%,0.69%,57.65%,26.57%,3.13%
ALSN,Allison Transmission Holdings Inc,0.00%,-0.24%,-0.11%,8.29%,18.34%,3.12%
AYTU,Aytu Biopharma Inc,-92.00%,-48.37%,-89.41%,92.77%,4.48%,3.12%
BW,Babcock & Wilcox Enterprises Inc,-1.00%,3.34%,11.56%,25.65%,48.55%,3.12%
BOKF,BOK Financial Corp,3.00%,6.33%,11.54%,23.79%,30.47%,3.12%
HBAN,Huntington Bancshares Incorporated,-9.00%,5.25%,8.36%,21.53%,19.62%,3.12%
MDXG,MiMedx Group Inc,-67.00%,6.29%,9.73%,73.86%,37.50%,3.12%
OSPN,Onespan Inc,-46.00%,3.92%,-0.41%,48.19%,7.29%,3.12%
PGRE,Paramount Group Inc,-17.00%,3.26%,0.96%,33.77%,13.02%,3.12%
PLG,Platinum Group Metals Limited (USA),-45.00%,3.25%,4.68%,49.00%,30.57%,3.12%
QUBT,Quantum Computing Inc,-49.00%,9.40%,24.97%,56.18%,174.65%,3.12%
STAB,Statera Biopharma Inc,-93.00%,5.06%,-2.50%,94.81%,20.70%,3.12%
INT,World Fuel Services Corp,-21.00%,5.93%,13.13%,23.08%,39.97%,3.12%
ADIL,Adial Pharmaceuticals Inc,-81.00%,-14.68%,-79.02%,88.43%,30.64%,3.11%
AINV,Apollo Investment Corp.,-2.00%,5.97%,11.96%,2.56%,35.06%,3.11%
DXCM,"DexCom, Inc.",-27.00%,2.74%,6.28%,45.57%,34.14%,3.11%
MRO,Marathon Oil Corporation,85.00%,4.78%,1.66%,32.78%,114.60%,3.11%
PNTG,Pennant Group Inc,-41.00%,11.31%,16.42%,50.07%,69.51%,3.11%
AM^H13,Antero Midstream Corp,10.00%,4.20%,5.21%,13.92%,19.71%,3.10%
CODI,Compass Diversified Holdings,-15.00%,3.26%,5.77%,29.42%,15.81%,3.10%
GLT,Glatfelter Corp,-66.00%,-0.16%,-20.45%,71.66%,8.48%,3.10%
TSPT,Inspirato Inc,-61.00%,-15.29%,-30.15%,96.37%,3.70%,3.10%
LMNL,Liminal BioSciences Inc,-82.00%,12.22%,5.23%,83.57%,34.15%,3.10%
ATCO,Atlas Corp,-2.00%,7.37%,13.74%,15.52%,37.58%,3.09%
FOXA,Fox Corp,-6.00%,5.32%,6.33%,22.40%,11.35%,3.09%
KR,Kroger Co,9.00%,0.58%,-2.15%,25.47%,22.42%,3.09%
NJR,New Jersey Resources Corp,18.00%,2.51%,3.89%,4.29%,32.11%,3.09%
HMY,Harmony Gold Mining Co. (ADR),-1.00%,3.78%,3.76%,36.00%,20.55%,3.08%
IMXI,International Money Express Inc,43.00%,0.20%,8.09%,2.76%,73.19%,3.08%
RGTI,Rigetti Computing Inc,0.00%,8.65%,-1.08%,64.94%,37.54%,3.08%
SEII,Sharing Economy International Inc,204.00%,-32.47%,-26.35%,73.85%,"2,515.00%",3.08%
SNCR,"Synchronoss Technologies, Inc.",-37.00%,7.14%,16.93%,45.63%,58.49%,3.08%
TPL,Texas Pacific Land Corp,17.00%,-2.79%,1.99%,8.26%,85.05%,3.08%
GSBC,"Great Southern Bancorp, Inc.",14.00%,2.17%,4.06%,2.92%,21.83%,3.07%
LTC,LTC Properties Inc,22.00%,4.36%,9.84%,1.19%,38.11%,3.07%
LYT,Lytus Technologies Holdings Ptv Ltd,0.00%,-12.83%,0.00%,93.84%,26.08%,3.07%
MICT,MICT Inc,-63.00%,7.92%,12.68%,68.91%,74.39%,3.07%
STRY,Starry Group Holdings Inc,0.00%,-22.21%,-55.37%,64.86%,40.81%,3.07%
TWO,Two Harbors Investment Corp,-22.00%,0.19%,1.49%,25.11%,19.72%,3.07%
XP,XP Inc,-57.00%,-7.31%,-5.52%,61.32%,20.98%,3.07%
EPR,EPR Properties,9.00%,3.68%,7.70%,3.83%,31.79%,3.06%
DINO,HF Sinclair Corp,64.00%,6.37%,9.68%,14.84%,79.47%,3.06%
INTZ,Intrusion Inc.,-5.00%,1.60%,9.85%,21.44%,147.13%,3.06%
KELYA,"Kelly Services, Inc.",-4.00%,-13.84%,-10.81%,10.64%,40.64%,3.06%
LFMD,LifeMD Inc,-68.00%,6.60%,15.58%,69.06%,62.78%,3.06%
POST,Post Holdings Inc,-25.00%,1.40%,5.78%,6.01%,39.42%,3.06%
SRDX,"SurModics, Inc.",-32.00%,4.92%,3.36%,41.11%,13.07%,3.06%
MOND,Mondee Holdings Inc,0.00%,5.21%,-2.34%,50.35%,23.97%,3.05%
PAAS,Pan American Silver Corp. (USA),-19.00%,-7.98%,-12.28%,29.89%,18.37%,3.05%
SXT,Sensient Technologies Corporation,-3.00%,2.85%,5.27%,19.13%,18.19%,3.05%
CC,Chemours Co,3.00%,4.61%,5.60%,21.29%,56.83%,3.04%
EGBN,"Eagle Bancorp, Inc.",-18.00%,2.94%,2.85%,24.37%,7.64%,3.04%
MANH,"Manhattan Associates, Inc.",-5.00%,5.45%,13.70%,21.33%,39.89%,3.04%
RAIN,Rain Therapeutics Inc,-58.00%,9.03%,28.03%,58.57%,261.86%,3.04%
TOL,Toll Brothers Inc,-20.00%,2.72%,4.12%,35.25%,21.81%,3.04%
ACON,Aclarion Inc,0.00%,-10.91%,-22.41%,75.31%,27.78%,3.03%
ATHM,Autohome Inc (ADR),-9.00%,-2.96%,-0.25%,32.16%,73.30%,3.03%
CENT,Central Garden & Pet Co,-10.00%,2.33%,3.08%,23.12%,10.09%,3.03%
INVZ,Innoviz Technologies Ltd,-31.00%,15.74%,28.60%,37.76%,109.34%,3.03%
PAYX,"Paychex, Inc.",14.00%,4.59%,8.63%,6.40%,24.67%,3.03%
RCMT,R C M Technologies Inc,314.00%,-26.81%,-36.37%,34.21%,374.39%,3.03%
SPLK,Splunk Inc,-22.00%,4.28%,8.95%,34.90%,35.89%,3.03%
KMPR,Kemper Corp,-32.00%,3.63%,0.19%,35.77%,9.03%,3.02%
MBI,MBIA Inc.,2.00%,6.02%,4.44%,29.72%,22.73%,3.02%
MKSI,"MKS Instruments, Inc.",-21.00%,3.69%,6.36%,35.92%,25.21%,3.02%
SIVB,SVB Financial Group,-23.00%,8.21%,7.98%,40.75%,27.26%,3.02%
UGRO,urban-gro Inc,-50.00%,3.30%,3.74%,65.78%,31.56%,3.02%
EXK,Endeavour Silver Corp,-20.00%,0.08%,0.41%,38.99%,21.22%,3.01%
PVH,PVH Corp,-44.00%,6.32%,7.55%,47.66%,20.29%,3.01%
ACIW,ACI Worldwide Inc,-18.00%,-2.42%,-3.40%,26.60%,11.85%,3.00%
ELAN,Elanco Animal Health Inc,-37.00%,1.64%,-3.67%,44.20%,4.77%,3.00%
MTCH,Match Group Inc,-53.00%,-0.38%,-6.72%,63.71%,11.66%,3.00%
SEMR,SEMrush Holdings Inc,-36.00%,7.55%,13.34%,57.23%,87.45%,3.00%
SWIR,"Sierra Wireless, Inc. (USA)",68.00%,4.99%,17.28%,0.16%,128.79%,3.00%
VRME,VerifyMe Inc,-55.00%,2.87%,-10.83%,60.51%,14.97%,3.00%
SGFY,Signify Health Inc,-12.00%,11.16%,25.88%,15.64%,114.95%,29.71%
PETS,Petmed Express Inc,-24.00%,2.88%,3.17%,32.23%,16.01%,29.29%
RKT^G15,Rocket Companies Inc,-46.00%,7.53%,14.67%,42.85%,65.58%,29.14%
WOOF,Petco Health and Wellness Company Inc,-25.00%,5.15%,2.16%,41.70%,18.63%,29.05%
CVNA,Carvana Co,-87.00%,22.16%,29.51%,87.39%,143.24%,28.73%
CMPO,CompoSecure Inc,-30.00%,9.03%,12.67%,34.05%,49.36%,28.65%
JOAN,Joann Inc,-34.00%,3.67%,11.28%,35.47%,60.35%,28.23%
ASTS,AST SpaceMobile Inc,-5.00%,26.58%,35.97%,30.66%,89.26%,28.17%
GEVO,Gevo Inc,-39.00%,13.60%,18.73%,57.92%,59.63%,28.02%
CONN,Conn's Inc,-54.00%,9.68%,9.07%,60.39%,42.36%,27.99%
VUZI,Vuzix Corp,-29.00%,13.81%,25.38%,41.05%,146.13%,27.97%
W,Wayfair Inc,-79.00%,10.04%,12.99%,79.51%,50.15%,27.64%
RIDE,Lordstown Motors Corp,-55.00%,10.17%,21.08%,70.77%,75.76%,27.50%
ALLO,Allogene Therapeutics Inc,-23.00%,12.74%,26.86%,41.85%,152.14%,27.36%
ULCC,Frontier Group Holdings Inc,-9.00%,4.36%,16.91%,18.74%,73.63%,27.36%
LMND,Lemonade Inc,-61.00%,20.22%,31.13%,65.67%,79.24%,27.33%
DKS,Dicks Sporting Goods Inc,-6.00%,7.70%,14.75%,28.58%,60.71%,27.26%
FUV,Arcimoto Inc,-83.00%,5.23%,-2.15%,83.12%,17.42%,27.02%
EWCZ,European Wax Center Inc,-1.00%,4.00%,3.65%,31.39%,31.57%,26.79%
MVIS,"Microvision, Inc.",-62.00%,1.17%,12.27%,64.86%,125.60%,26.43%
BLNK,Blink Charging Co,-32.00%,15.39%,26.07%,52.84%,69.93%,26.35%
WKHS,Workhorse Group Inc,-61.00%,11.79%,22.86%,63.64%,82.46%,26.29%
OCGN,Ocugen Inc,-64.00%,4.28%,8.60%,83.97%,69.46%,26.24%
CURV,Torrid Holdings Inc,-79.00%,22.82%,27.73%,81.44%,66.26%,26.24%
GDRX,Goodrx Holdings Inc,-79.00%,3.80%,-3.46%,84.58%,31.97%,25.68%
CHWY,Chewy Inc,-49.00%,9.46%,19.93%,50.02%,119.85%,25.56%
CUTR,"Cutera, Inc.",-6.00%,7.30%,11.76%,36.04%,50.44%,25.41%
PTLO,Portillos Inc,0.00%,-4.85%,7.42%,54.87%,75.60%,25.35%
CLAR,Clarus Corp,-17.00%,16.47%,21.32%,25.28%,33.70%,25.24%
EBIX,Ebix Inc,-23.00%,3.09%,4.15%,46.74%,89.28%,24.92%
KPTI,Karyopharm Therapeutics Inc,8.00%,10.23%,6.70%,64.70%,30.00%,24.70%
EDIT,Editas Medicine Inc,-72.00%,4.78%,16.40%,74.60%,93.43%,24.52%
UNG,"United States Natural Gas Fund, LP",110.00%,6.96%,13.54%,0.00%,0.00%,24.25%
DM^A19,Desktop Metal Inc,-64.00%,19.71%,24.27%,69.55%,137.30%,24.14%
PAR,PAR Technology Corporation,-38.00%,0.34%,5.07%,46.55%,35.99%,24.05%
RIOT,Riot Blockchain Inc,-75.00%,15.93%,24.63%,80.32%,126.62%,23.94%
SPCE,Virgin Galactic Holdings Inc,-72.00%,-0.83%,-0.17%,76.60%,36.58%,23.76%
AMKR,"Amkor Technology, Inc.",-17.00%,6.11%,13.97%,26.31%,46.00%,23.65%
APRN,Blue Apron Holdings Inc,-11.00%,11.04%,9.87%,70.92%,63.44%,23.49%
GME,GameStop Corp.,0.00%,5.07%,13.70%,36.60%,108.97%,23.32%
EXPI,eXp World Holdings Inc,-67.00%,10.55%,17.54%,67.91%,60.85%,23.29%
NVTA,Invitae Corp,-67.00%,32.39%,39.25%,73.79%,371.58%,23.28%
BWV,Blue Water Vaccines Inc,0.00%,-4.06%,-79.54%,97.29%,36.67%,23.27%
SKYT,Skywater Technology Inc,-27.00%,-1.42%,24.49%,54.43%,278.56%,23.19%
IBRX,Immunitybio Inc,-60.00%,4.12%,6.90%,63.04%,75.38%,23.18%
JWN,"Nordstrom, Inc.",-36.00%,3.81%,4.19%,40.02%,23.75%,23.12%
BEEM,Beam Global,-47.00%,11.30%,14.56%,57.71%,63.53%,22.98%
WRBY,Warby Parker Inc,0.00%,19.01%,16.60%,76.48%,30.57%,22.82%
CTRN,"Citi Trends, Inc.",-63.00%,15.18%,17.61%,71.47%,36.22%,22.76%
ZYME,Zymeworks Inc,-78.00%,10.99%,15.61%,81.55%,50.44%,22.69%
CWH,Camping World Holdings Inc,-23.00%,8.44%,15.66%,35.86%,43.88%,22.63%
LAZR,Luminar Technologies Inc,-43.00%,23.30%,27.03%,58.70%,76.09%,22.61%
HVT,"Haverty Furniture Companies, Inc.",-22.00%,5.72%,11.28%,19.68%,29.21%,22.55%
PRCH,Porch Group Inc,-85.00%,19.58%,9.42%,89.53%,60.00%,22.47%
HCP,HashiCorp Inc,0.00%,11.10%,16.12%,60.32%,60.13%,22.43%
HYZN,Hyzon Motors Inc,-67.00%,-26.33%,-48.23%,79.42%,9.35%,22.37%
VERV,Verve Therapeutics Inc,-47.00%,17.56%,33.06%,59.06%,198.41%,22.36%
SAH,Sonic Automotive Inc,-6.00%,10.32%,16.30%,17.60%,39.86%,22.28%
BKKT,Bakkt Holdings Inc,0.00%,12.04%,16.64%,93.78%,59.60%,22.11%
FATE,Fate Therapeutics Inc,-64.00%,3.98%,11.40%,65.03%,89.59%,22.08%
KIRK,"Kirkland's, Inc.",-85.00%,17.45%,-2.59%,88.39%,5.90%,22.05%
SFIX,Stitch Fix Inc,-84.00%,9.55%,8.53%,84.59%,48.28%,22.04%
SDC,SmileDirectClub Inc,-75.00%,22.19%,25.75%,82.48%,33.13%,22.03%
PLBY,Plby Group Inc,-77.00%,-13.72%,-28.97%,86.64%,20.42%,21.95%
AMRS,Amyris Inc,-76.00%,33.32%,38.32%,80.07%,121.72%,21.75%
ENVB,Enveric Biosciences Inc,-93.00%,-9.04%,-37.07%,96.55%,9.32%,21.62%
UWMC,UWM Holdings Corp,-49.00%,3.34%,6.03%,49.62%,27.39%,21.61%
VRM,Vroom Inc,-95.00%,13.60%,18.89%,95.79%,60.19%,21.59%
SATS,Echostar Corporation,-22.00%,3.23%,2.50%,34.27%,12.21%,21.56%
BBIO,BridgeBio Pharma Inc,-76.00%,8.85%,17.70%,77.62%,140.76%,21.54%
SIEN,Sientra Inc,-81.00%,-9.95%,-8.18%,82.41%,85.32%,21.11%
REI,Ring Energy Inc,17.00%,6.32%,-2.25%,45.78%,52.49%,21.08%
GOSS,Gossamer Bio Inc,55.00%,8.86%,24.93%,4.76%,141.49%,21.04%
CDEV,Centennial Resource Development Inc,36.00%,8.38%,7.28%,28.97%,76.67%,21.02%
DNMR,Danimer Scientific Inc,-68.00%,14.77%,16.16%,77.17%,57.76%,21.00%
HLBZ,Helbiz Inc,-82.00%,18.00%,24.58%,96.47%,228.67%,202.54%
NVAX,"Novavax, Inc.",-83.00%,-21.14%,-31.65%,85.11%,18.58%,20.99%
CNK,"Cinemark Holdings, Inc.",19.00%,-2.30%,1.41%,25.87%,28.35%,20.84%
LIND,Lindblad Expeditions Holdings Inc,-28.00%,18.68%,16.09%,46.00%,64.23%,20.59%
BCAB,Bioatla Inc,-84.00%,28.47%,42.24%,84.71%,228.86%,20.58%
BROS,Dutch Bros Inc,0.00%,9.03%,15.82%,45.93%,119.50%,20.58%
APPH,Appharvest Inc,-56.00%,-11.72%,-13.39%,60.11%,49.58%,20.56%
IGMS,IGM Biosciences Inc,-67.00%,19.61%,28.39%,69.64%,103.00%,20.54%
DDS,"Dillard's, Inc.",27.00%,16.08%,17.67%,37.88%,54.97%,20.24%
ZEV,Lightning Emotors Inc,-57.00%,-3.14%,0.53%,68.01%,54.58%,20.23%
TELL,Tellurian Inc,0.00%,11.43%,11.22%,41.55%,71.30%,20.18%
GES,"Guess?, Inc.",-13.00%,4.94%,6.79%,21.73%,23.24%,20.08%
,Amerant Bancorp Inc,16.00%,3.72%,3.41%,22.66%,21.84%,2.99%
CIDM,Cinedigm Corp,-65.00%,17.50%,20.49%,78.31%,36.17%,2.99%
DCT^H18,Duck Creek Technologies Inc,-68.00%,-0.11%,-9.52%,71.91%,7.49%,2.99%
LCTX,Lineage Cell Therapeutics Inc,-40.00%,-1.58%,1.89%,44.29%,41.82%,2.99%
MKFG,Markforged Holding Corp,-69.00%,8.88%,15.32%,71.69%,71.51%,2.99%
MAX,MediaAlpha Inc,-70.00%,-13.65%,-24.28%,73.17%,6.85%,2.99%
ALHC,Alignment Healthcare Inc,-8.00%,2.92%,15.96%,29.34%,168.73%,2.98%
AQB,Aquabounty Technologies Inc,-71.00%,-4.28%,-7.07%,71.34%,26.55%,2.98%
CMLS,Cumulus Media Inc,-30.00%,8.43%,5.60%,42.82%,38.66%,2.98%
EARN,Ellington Residential Mortgage REIT,-24.00%,2.76%,6.41%,30.71%,34.69%,2.98%
GRNQ,Greenpro Capital Corp,-76.00%,-7.06%,-30.25%,91.86%,50.78%,2.98%
MRIN,Marin Software Inc,-67.00%,4.90%,3.43%,83.80%,17.09%,2.98%
RSKD,Riskified Ltd,-80.00%,13.56%,20.06%,86.17%,48.94%,2.98%
SNAX,Stryve Foods Inc,-87.00%,7.58%,-1.06%,88.01%,54.50%,2.98%
WABC,Westamerica Bancorporation,2.00%,1.52%,3.13%,6.59%,11.29%,2.98%
FPAC,Far Peak Acquisition Corp,-1.00%,-0.02%,0.03%,12.83%,0.92%,2.97%
NEXI,Neximmune Inc,-90.00%,2.85%,-23.91%,93.45%,13.89%,2.97%
PGTI,PGT Innovations Inc,5.00%,5.20%,14.27%,4.79%,47.02%,2.97%
PAGP,Plains GP Holdings LP,8.00%,4.61%,6.57%,11.02%,23.53%,2.97%
PFBC,Preferred Bank,20.00%,3.05%,5.50%,12.13%,22.79%,2.97%
ROIC,Retail Opportunity Investments Corp,1.00%,4.82%,7.12%,11.85%,17.56%,2.97%
AL,Air Lease Corp,-12.00%,5.75%,9.74%,24.55%,29.31%,2.96%
CAC,Camden National Corporation,-3.00%,4.32%,5.86%,11.92%,10.75%,2.96%
CARV,Carver Bancorp Inc,-67.00%,0.90%,-7.41%,71.62%,13.36%,2.96%
CTKB,Cytek Biosciences Inc,-34.00%,4.92%,17.38%,46.17%,109.35%,2.96%
LEA,Lear Corporation,-13.00%,3.50%,8.40%,24.48%,24.67%,2.96%
MKC,"McCormick & Company, Incorporated",4.00%,2.48%,3.28%,16.34%,15.36%,2.96%
SRAD,Sportradar Group AG,0.00%,15.08%,21.51%,61.62%,52.54%,2.96%
SQSP,Squarespace Inc,-50.00%,-1.11%,0.14%,54.08%,55.58%,2.96%
WELL,Welltower Inc,-2.00%,0.08%,-1.12%,16.21%,8.82%,2.96%
WEN,Wendys Co,-12.00%,1.83%,6.04%,15.28%,31.56%,2.96%
CEVA,"CEVA, Inc.",-26.00%,-3.23%,-3.16%,33.87%,8.69%,2.95%
NRGV,Energy Vault Holdings Inc,-45.00%,1.11%,-47.30%,76.02%,33.50%,2.95%
FROG,JFrog Ltd,-32.00%,2.50%,9.37%,37.75%,61.10%,2.95%
MSM,MSC Industrial Direct Co Inc,-2.00%,3.88%,6.78%,4.36%,17.38%,2.95%
OPCH,Option Care Health Inc,59.00%,2.31%,9.84%,3.06%,65.13%,2.95%
REGN,Regeneron Pharmaceuticals Inc,6.00%,2.36%,2.90%,14.17%,19.23%,2.95%
SQZ,SQZ Biotechnologies Co,-74.00%,5.09%,2.76%,79.22%,28.74%,2.95%
VRAX,Virax Biolabs Group Ltd,0.00%,0.00%,0.00%,74.93%,34.63%,2.95%
ARNC,Arconic Corp (PITTSBURGH),-21.00%,-1.03%,-0.79%,23.25%,25.70%,2.94%
CBSH,"Commerce Bancshares, Inc.",7.00%,2.52%,5.40%,3.21%,17.00%,2.94%
CBU,"Community Bank System, Inc.",-8.00%,4.23%,7.29%,11.28%,13.56%,2.94%
FNB,FNB Corp,5.00%,4.83%,8.10%,12.47%,17.84%,2.94%
KULR,KULR Technology Group Inc,-27.00%,4.86%,5.14%,56.96%,38.98%,2.94%
MESA,Mesa Air Group Inc,-67.00%,15.50%,16.44%,70.48%,35.50%,2.94%
SCI,Service Corporation International,2.00%,-0.97%,-2.37%,11.47%,16.11%,2.94%
SST,System1 Inc,0.00%,5.07%,0.65%,76.66%,31.81%,2.94%
UMPQ,Umpqua Holdings Corp,-10.00%,5.20%,7.63%,16.91%,16.23%,2.94%
APG,APi Group Corp,-21.00%,3.79%,6.28%,34.54%,24.35%,2.93%
LEGH,Legacy Housing Corp,-6.00%,12.12%,17.57%,38.94%,47.24%,2.93%
NWN,Northwest Natural Holding Co,-3.00%,0.09%,0.03%,10.26%,20.08%,2.93%
QTRX,Quanterix Corp,-83.00%,-28.46%,-59.77%,85.95%,35.66%,2.93%
BWA,BorgWarner Inc.,-14.00%,3.89%,7.15%,21.84%,21.28%,2.92%
DQ^B10,Daqo New Energy Corp (ADR),37.00%,3.32%,8.76%,12.81%,119.60%,2.92%
HRI,Herc Holdings Inc,-5.00%,5.87%,12.33%,38.65%,49.38%,2.92%
HUBG,Hub Group Inc,29.00%,6.82%,12.64%,4.21%,37.36%,2.92%
